row_label_raw,row_label_full,Họ tên,Chức vụ,Phát sinh trong năm(triệu đồng),numeric__Chức vụ,numeric__Phát sinh trong năm(triệu đồng)
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,1.888,,1888.0
Ông Vũ Quang Lăm,Ông Vũ Quang Lăm,Ông Vũ Quang Lăm,Chủ tịch,1.083,,1083.0
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Thành viên,191,,191.0
Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Ông Phạm Hoài Nam,Thành viên,20,,20.0
Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Ông Nguyễn Thanh Long,Thành viên,20,,20.0
Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Bà Tôn Thị Nhật Giang,Thành viên,20,,20.0
Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Bà Phan Thị Bích Nguyệt,Thành viên độc lập,20,,20.0
Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Bà Nguyễn Thị Hồng Thủy,Thành viên độc lập,20,,20.0
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Thành viên,171,,171.0
Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Bà Trần Thị Phương Khanh,Thành viên,169,,169.0
Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Bà Phạm Thị Kim Lệ,Thành viên độc lập,174,,174.0
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,1.306,,1306.0
Ban điều hành,Ban điều hành,Ban điều hành,,7.585,,7585.0
Ông Trần Thanh Giang,Ông Trần Thanh Giang,Ông Trần Thanh Giang,Tổng Giám đốc,1.648,,1648.0
Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Bà Võ Thị Nguyệt Minh,Phó Tổng Giám đốc thường trực,1.400,,1400.0
Ông Phạm Hoàng Hồng Thịnh,Ông Phạm Hoàng Hồng Thịnh,Ông Phạm Hoàng Hồng Thịnh,Phó Tổng Giám đốc,1.327,,1327.0
Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Ông Trần Quốc Thanh,Phó Tổng giám đốc,1.327,,1327.0
Ông Nguyễn Tấn Phát,Ông Nguyễn Tấn Phát,Ông Nguyễn Tấn Phát,Phó Tổng giám đốc,459,,459.0
Ông Nguyễn Đình Nam,Ông Nguyễn Đình Nam,Ông Nguyễn Đình Nam,Phó Tổng giám đốc,870,,870.0
Ông Phạm Tấn Tài,Ông Phạm Tấn Tài,Ông Phạm Tấn Tài,Kế toán trường,554,,554.0
