row_label_raw,row_label_full,6.4 Phân tích dư nợ cho vay theo ngành (tiếp theo),31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,315.919,337.981,315919.0,337981.0
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,47.293,43.880,47293.0,43880.0
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",-,-,,
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động tài chính, ngân hàng và bảo hiểm > Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",399.498,92.151,399498.0,92151.0
Hoạt động kinh doanh bất động sản,"Hoạt động tài chính, ngân hàng và bảo hiểm > Hoạt động kinh doanh bất động sản",Hoạt động kinh doanh bất động sản,1.124.719,1.171.576,1124719.0,1171576.0
Giáo dục và đào tạo,"Hoạt động tài chính, ngân hàng và bảo hiểm > Giáo dục và đào tạo",Giáo dục và đào tạo,240.455,197.696,240455.0,197696.0
Y tế và hoạt động trợ giúp xã hội,"Hoạt động tài chính, ngân hàng và bảo hiểm > Y tế và hoạt động trợ giúp xã hội",Y tế và hoạt động trợ giúp xã hội,152.780,193.750,152780.0,193750.0
"Nghệ thuật, vui chơi và giải trí","Hoạt động tài chính, ngân hàng và bảo hiểm > Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",28.863,29.933,28863.0,29933.0
Hoạt động dịch vụ khác,"Hoạt động tài chính, ngân hàng và bảo hiểm > Hoạt động dịch vụ khác",Hoạt động dịch vụ khác,8.412.231,7.998.235,8412231.0,7998235.0
Hoạt động làm thuê các công việc trong các hộ gia đình,"Hoạt động tài chính, ngân hàng và bảo hiểm > Hoạt động làm thuê các công việc trong các hộ gia đình",Hoạt động làm thuê các công việc trong các hộ gia đình,4.236.342,3.703.900,4236342.0,3703900.0
Tổng cộng,"Hoạt động tài chính, ngân hàng và bảo hiểm > Tổng cộng",Tổng cộng,21.834.544,19.967.377,21834544.0,19967377.0
