row_label_raw,row_label_full,a. Lãi cho vay và phí phải thu chưa thu được,31/12/2024,31/12/2023,numeric__31/12/2024,numeric__31/12/2023
Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,830.269,495.013,830269.0,495013.0
Tổng,Tổng,Tổng,830.269,495.013,830269.0,495013.0
b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,31/12/2024,31/12/2023,,
Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,2.050.027,2.064.168,2050027.0,2064168.0
Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,4.087.164,3.845.927,4087164.0,3845927.0
Tổng,b. Nợ khó đòi đã xử lý > Tổng,Tổng,6.137.191,5.910.095,6137191.0,5910095.0
c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,31/12/2024,31/12/2023,,
Tài sản khác giữ hộ,c. Tài sản và chứng từ khác > Tài sản khác giữ hộ,Tài sản khác giữ hộ,476.481,345.013,476481.0,345013.0
Tài sản thuê ngoài,c. Tài sản và chứng từ khác > Tài sản thuê ngoài,Tài sản thuê ngoài,364.563,371.908,364563.0,371908.0
Các chứng từ có giá trị khác đang bào quản,c. Tài sản và chứng từ khác > Các chứng từ có giá trị khác đang bào quản,Các chứng từ có giá trị khác đang bào quản,2.023.568,2.027.573,2023568.0,2027573.0
Tổng,c. Tài sản và chứng từ khác > Tổng,Tổng,2.864.612,2.744.494,2864612.0,2744494.0
