row_label_raw,row_label_full,"29. Thu nhập từ góp vốn, mua cổ phần: > Cổ tức nhận được trong năm từ góp vốn, mua cổ phần",Năm 2024 > 2.902,Năm 2023 > 10.059,numeric__Năm 2024 > 2.902,numeric__Năm 2023 > 10.059
Thu từ lợi nhuận công ty con chuyển về,Thu từ lợi nhuận công ty con chuyển về,Thu từ lợi nhuận công ty con chuyển về,2.902,2.868,2902.0,2868.0
"Thu từ góp vốn, đầu tư dài hạn","Thu từ góp vốn, đầu tư dài hạn","Thu từ góp vốn, đầu tư dài hạn",-,7.173,,7173.0
"Thu nhập góp vốn, mua cổ phần","Thu nhập góp vốn, mua cổ phần","Thu nhập góp vốn, mua cổ phần",-,18,,18.0
Tổng cộng,Tổng cộng,Tổng cộng,2.902,10.059,2902.0,10059.0
