row_label_raw,row_label_full,32. Chi phí thuế thu nhập doanh nghiệp,Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,,
1. Lợi nhuận trước thuế TNDN,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 1. Lợi nhuận trước thuế TNDN,1. Lợi nhuận trước thuế TNDN,98.619,331.527,98619.0,331527.0
2. Các khoản mục điều chỉnh thu nhập chịu thuế:,2. Các khoản mục điều chỉnh thu nhập chịu thuế:,2. Các khoản mục điều chỉnh thu nhập chịu thuế:,2. Các khoản mục điều chỉnh thu nhập chịu thuế:,2. Các khoản mục điều chỉnh thu nhập chịu thuế:,,
(Trừ) thu nhập được miễn thuế TNDN:,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > (Trừ) thu nhập được miễn thuế TNDN:,(Trừ) thu nhập được miễn thuế TNDN:,(2.902),(10.041),-2902.0,-10041.0
Thu nhập từ góp vốn liên doanh mua cổ phần,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > Thu nhập từ góp vốn liên doanh mua cổ phần,Thu nhập từ góp vốn liên doanh mua cổ phần,-,(7.173),,-7173.0
Thu lãi từ công ty con,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > Thu lãi từ công ty con,Thu lãi từ công ty con,(2.902),(2.868),-2902.0,-2868.0
Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,1.538,2.207,1538.0,2207.0
3. Thu nhập chịu thuế,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > 3. Thu nhập chịu thuế,3. Thu nhập chịu thuế,97.255,323.693,97255.0,323693.0
4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > 4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,19.451,64.702,19451.0,64702.0
5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > 5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,-,36,,36.0
6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,2. Các khoản mục điều chỉnh thu nhập chịu thuế: > 6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,19.451,64.738,19451.0,64738.0
