row_label_raw,row_label_full,Chỉ tiêu,Phát sinh trong năm > Số dư đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Phát sinh trong năm > Số dư cuối năm,numeric__Phát sinh trong năm > Số dư đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Phát sinh trong năm > Số dư cuối năm
1. Thuế GTGT,1. Thuế GTGT,1. Thuế GTGT,680,5.807,5.922,565,680.0,5807.0,5922.0,565.0
a. Thuế GTGT,a. Thuế GTGT,a. Thuế GTGT,680,5.569,5.684,565,680.0,5569.0,5684.0,565.0
b. Thuế GTGT nhà thầu nước ngoài,b. Thuế GTGT nhà thầu nước ngoài,b. Thuế GTGT nhà thầu nước ngoài,-,238,238,-,,238.0,238.0,
2. Thuế TNDN,2. Thuế TNDN,2. Thuế TNDN,44.701,20.422,45.717,19.406,44701.0,20422.0,45717.0,19406.0
a. Thuế TNDN,a. Thuế TNDN,a. Thuế TNDN,44.701,19.451,44.746,19.406,44701.0,19451.0,44746.0,19406.0
b. Thuế TNDN nhà thầu nước ngoài,b. Thuế TNDN nhà thầu nước ngoài,b. Thuế TNDN nhà thầu nước ngoài,-,971,971,-,,971.0,971.0,
"3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác","3. Các khoản phí, lệ phí và các khoản phải nộp khác",655,7.920,7.966,609,655.0,7920.0,7966.0,609.0
Tổng cộng,Tổng cộng,Tổng cộng,46.036,34.149,59.605,20.580,46036.0,34149.0,59605.0,20580.0
