row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Năm nay,Năm trước,numeric__Nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Bán hàng Cung cấp dịch vụ,29.930.709.422 10.764.649.420,130.352.130.571 4.399.142.027,,,
Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Công ty TNHH Trồng rừng Trường Thành OJI,Lãi cho vay Thu hồi gốc vay Chi hộ,2.982.904.286 1.606.160.000 -,1.739.985.582 - 32.400.000,,,
Công ty Cổ phần Tekcom,Công ty TNHH Trồng rừng Trường Thành OJI > Công ty Cổ phần Tekcom,Công ty Cổ phần Tekcom,Góp vốn,-,166.600.013.370,,,166600013370.0
Công ty Natuzzi Singapore PTE. Ltd.,Công ty TNHH Trồng rừng Trường Thành OJI > Công ty Natuzzi Singapore PTE. Ltd.,Công ty Natuzzi Singapore PTE. Ltd.,Góp vốn,-,122.728.870.000,,,122728870000.0
