row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,Tổng lỗ kế toán trước thuế,(111.405.244.342),(82.089.825),-111405244342.0,-82089825.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,(22.281.048.868),(16.417.965),-22281048868.0,-16417965.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Trích bổ sung thuế TNDN các năm trước (*),Các khoản điều chỉnh: > Trích bổ sung thuế TNDN các năm trước (*),Trích bổ sung thuế TNDN các năm trước (*),33.347.001.825,1.957.205.658,33347001825.0,1957205658.0
Chi phí không được trừ,Các khoản điều chỉnh: > Chi phí không được trừ,Chi phí không được trừ,24.147.302.154,9.360.651.278,24147302154.0,9360651278.0
Chi phí phải trả,Các khoản điều chỉnh: > Chi phí phải trả,Chi phí phải trả,17.187.941.622,8.722.939.549,17187941622.0,8722939549.0
Chi phí lãi vay,Các khoản điều chỉnh: > Chi phí lãi vay,Chi phí lãi vay,10.061.923.271,8.064.790.747,10061923271.0,8064790747.0
Thay đổi dự phòng nợ phải thu khó đòi,Các khoản điều chỉnh: > Thay đổi dự phòng nợ phải thu khó đòi,Thay đổi dự phòng nợ phải thu khó đòi,5.018.979.004,(523.466.965),5018979004.0,-523466965.0
Lỗ thuế chưa ghi nhận tài sản thuế thu nhập hoãn lại,Các khoản điều chỉnh: > Lỗ thuế chưa ghi nhận tài sản thuế thu nhập hoãn lại,Lỗ thuế chưa ghi nhận tài sản thuế thu nhập hoãn lại,4.818.530.298,7.094.200.403,4818530298.0,7094200403.0
Thay đổi dự phòng giảm giá hàng tồn kho,Các khoản điều chỉnh: > Thay đổi dự phòng giảm giá hàng tồn kho,Thay đổi dự phòng giảm giá hàng tồn kho,3.165.852.537,(16.793.428.541),3165852537.0,-16793428541.0
Thuế được miễn giảm,Các khoản điều chỉnh: > Thuế được miễn giảm,Thuế được miễn giảm,-,(3.035.868.988),,-3035868988.0
"Phần lỗ trong công ty liên doanh, liên kết","Các khoản điều chỉnh: > Phần lỗ trong công ty liên doanh, liên kết","Phần lỗ trong công ty liên doanh, liên kết",(1.165.399.356),334.031.129,-1165399356.0,334031129.0
Xóa số các khoản phải trả,Các khoản điều chỉnh: > Xóa số các khoản phải trả,Xóa số các khoản phải trả,(2.465.153.847),-,-2465153847.0,
Lỗ năm trước chuyển sang,Các khoản điều chỉnh: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(39.190.639.203),(14.336.416.753),-39190639203.0,-14336416753.0
Khác,Các khoản điều chỉnh: > Khác,Khác,196.374.406,319.281.675,196374406.0,319281675.0
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,32.841.663.843,1.147.501.227,32841663843.0,1147501227.0
