row_label_raw,row_label_full,Doanh thu,Doanh thu_1,Doanh thu_2,Doanh thu_3,numeric__Doanh thu_1,numeric__Doanh thu_2,numeric__Doanh thu_3
Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,1.464.244.107.342,96.227.360.976,1.560.471.468.318,1464244107342.0,96227360976.0,1560471468318.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.464.244.107.342,96.227.360.976,1.560.471.468.318,1464244107342.0,96227360976.0,1560471468318.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,
Lợi nhuận gộp,Kết quả > Lợi nhuận gộp,Lợi nhuận gộp,237.124.522.706,16.291.152.864,253.415.675.570,237124522706.0,16291152864.0,253415675570.0
Lãi (lỗ) từ hoạt động kinh doanh của bộ phận,Kết quả > Lãi (lỗ) từ hoạt động kinh doanh của bộ phận,Lãi (lỗ) từ hoạt động kinh doanh của bộ phận,15.759.413.320,(938.810.738),14.820.602.582,15759413320.0,-938810738.0,14820602582.0
Chi phí dự phòng,Kết quả > Chi phí dự phòng,Chi phí dự phòng,,,(16.393.313.575),,,-16393313575.0
Doanh thu tài chính,Kết quả > Doanh thu tài chính,Doanh thu tài chính,,,24.907.367.051,,,24907367051.0
Chi phí tài chính,Kết quả > Chi phí tài chính,Chi phí tài chính,,,(70.585.184.229),,,-70585184229.0
Thu nhập khác,Kết quả > Thu nhập khác,Thu nhập khác,,,22.071.860.492,,,22071860492.0
Chi phí khác,Kết quả > Chi phí khác,Chi phí khác,,,(92.053.573.444),,,-92053573444.0
Phần lãi trong công ty liên kết,Kết quả > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,5.826.996.781,,,5826996781.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,(33.525.044.969),,,-33525044969.0
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,683.381.126,,,683381126.0
Lỗ sau thuế,Kết quả > Lỗ sau thuế,Lỗ sau thuế,,,(144.246.908.185),,,-144246908185.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,,,2.850.460.549.706,,,2850460549706.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,2.850.460.549.706,,,2850460549706.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,,,2.583.330.815.919,,,2583330815919.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,2.583.330.815.919,,,2583330815919.0
