row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,361.739.285.456,390.308.303.962,22.903.800.657,8.993.148.869,783.944.538.944,361739285456.0,390308303962.0,22903800657.0,8993148869.0,783944538944.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,2.418.587.544,4.830.951.946,3.372.944.153,835.307.323,11.457.790.966,2418587544.0,4830951946.0,3372944153.0,835307323.0,11457790966.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.717.151.690,3.217.924.150,200.000.000,-,5.135.075.840,1717151690.0,3217924150.0,200000000.0,,5135075840.0
Thanh lý và xóa số,Nguyên giá: > Thanh lý và xóa số,Thanh lý và xóa số,-,-,(2.350.912.728),-,(2.350.912.728),,,-2350912728.0,,-2350912728.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,365.875.024.690,398.357.180.058,24.125.832.082,9.828.456.192,798.186.493.022,365875024690.0,398357180058.0,24125832082.0,9828456192.0,798186493022.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,87.211.835.048,128.852.555.733,12.954.213.953,2.929.765.330,231.948.370.064,87211835048.0,128852555733.0,12954213953.0,2929765330.0,231948370064.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(247.698.838.969),(246.781.693.549),(15.363.036.564),(5.982.794.512),(515.826.363.594),-247698838969.0,-246781693549.0,-15363036564.0,-5982794512.0,-515826363594.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(10.276.551.757),(25.292.034.822),(1.213.196.314),(904.210.292),(37.685.993.185),-10276551757.0,-25292034822.0,-1213196314.0,-904210292.0,-37685993185.0
Thanh lý và xóa số,Giá trị khấu hao lũy kế: > Thanh lý và xóa số,Thanh lý và xóa số,-,-,1.921.701.068,-,1.921.701.068,,,1921701068.0,,1921701068.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(257.975.390.726),(272.073.728.371),(14.654.531.810),(6.887.004.804),(551.590.655.711),-257975390726.0,-272073728371.0,-14654531810.0,-6887004804.0,-551590655711.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,114.040.446.487,143.526.610.413,7.540.764.093,3.010.354.357,268.118.175.350,114040446487.0,143526610413.0,7540764093.0,3010354357.0,268118175350.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,107.899.633.964,126.283.451.687,9.471.300.272,2.941.451.388,246.595.837.311,107899633964.0,126283451687.0,9471300272.0,2941451388.0,246595837311.0
