row_label_raw,row_label_full,Ngân hàng > Ngân hàng Nông nghiệp và Phát triển Nông thôn - Chi nhánh Bình Dương > Ngân hàng Thương mại Cổ phần Kiên Long - Chi nhánh Sài Gòn,Số cuối năm VND > 8.124.000.000 > 56.000.000,Kỳ hạn trả gốc và lãi > Từ ngày 28 tháng 7 năm 2023 đến ngày 14 tháng 1 năm 2026 > Từ ngày 2 tháng 7 năm 2023 đến ngày 2 tháng 6 năm 2024,"Lãi suất %/năm > 10,00 > 15,55",Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với quyền sử dụng đất > Phương tiện vận tải số hiệu 61-013053,numeric__Số cuối năm VND > 8.124.000.000 > 56.000.000,numeric__Kỳ hạn trả gốc và lãi > Từ ngày 28 tháng 7 năm 2023 đến ngày 14 tháng 1 năm 2026 > Từ ngày 2 tháng 7 năm 2023 đến ngày 2 tháng 6 năm 2024,"numeric__Lãi suất %/năm > 10,00 > 15,55",numeric__Hình thức đảm bảo > Quyền sử dụng đất và tài sản gắn liền với quyền sử dụng đất > Phương tiện vận tải số hiệu 61-013053
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.180.000.000,,,,8180000000.0,,,
Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,Trong đó:Vay dài hạn đến hạn trảVay dài hạn,3.267.000.0004.913.000.000,,,,3.2670000004913e+19,,,
