row_label_raw,row_label_full,col_0,Cổ phiếu phổ thôngcó quyền biểu quyết,Cổ phiếu ưu đãi,Thặng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khACThuộc vốnchủ sở hữu,Lỗ lũy kế,Tổng cộng,numeric__Cổ phiếu phổ thôngcó quyền biểu quyết,numeric__Cổ phiếu ưu đãi,numeric__Thặng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khACThuộc vốnchủ sở hữu,numeric__Lỗ lũy kế,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.111.983.020.000,1.000.000.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.052.481.691.424),558.416.729.688,3111983020000.0,1000000000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3052481691424.0,558416729688.0
Chuyển đổi cổ phiếu,Năm trước > Chuyển đổi cổ phiếu,Chuyển đổi cổ phiếu,823.500.000.000,(823.500.000.000),-,-,-,-,-,-,823500000000.0,-823500000000.0,,,,,,
Cổ tức cổ phiếuuru đãi,Năm trước > Cổ tức cổ phiếuuru đãi,Cổ tức cổ phiếuuru đãi,-,-,-,-,-,-,(21.180.000.000),(21.180.000.000),,,,,,,-21180000000.0,-21180000000.0
Lợi nhuận thuầntrong năm,Năm trước > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,-,-,3.403.803.212,3.403.803.212,,,,,,,3403803212.0,3403803212.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.070.257.888.212),540.640.532.900,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3070257888212.0,540640532900.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.070.257.888.212),540.640.532.900,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3070257888212.0,540640532900.0
Lỗ thuần trong năm,Năm nay > Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,-,-,(133.635.637.769),(133.635.637.769),,,,,,,-133635637769.0,-133635637769.0
Cổ tức cổ phiếuuru đãi (TM số 20) (*),Năm nay > Cổ tức cổ phiếuuru đãi (TM số 20) (*),Cổ tức cổ phiếuuru đãi (TM số 20) (*),-,-,-,-,-,-,(21.484.602.739),(21.484.602.739),,,,,,,-21484602739.0,-21484602739.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.935.483.020.000,176.500.000.000,(517.711.506.620),(552.965.000),17.170.909.622,8.963.110,(3.225.378.128.720),385.520.292.392,3935483020000.0,176500000000.0,-517711506620.0,-552965000.0,17170909622.0,8963110.0,-3225378128720.0,385520292392.0
