row_label_raw,row_label_full,col_0,Quyền sử dụngđất lâu dài,Quyền sử dụngđất có thời hạn,Phần mềmmáy tính,Tài sản khác,VNDTổng cộng,numeric__Quyền sử dụngđất lâu dài,numeric__Quyền sử dụngđất có thời hạn,numeric__Phần mềmmáy tính,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.458.632.000,92.877.863.275,29.649.210.629,17.875.256.880,141.860.962.784,1458632000.0,92877863275.0,29649210629.0,17875256880.0,141860962784.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,1.012.815.000,-,1.012.815.000,,,1012815000.0,,1012815000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.458.632.000,92.877.863.275,30.662.025.629,17.875.256.880,142.873.777.784,1458632000.0,92877863275.0,30662025629.0,17875256880.0,142873777784.0
Trong đó:Dã hao mòn hết,Nguyên giá: > Trong đó:Dã hao mòn hết,Trong đó:Dã hao mòn hết,-,-,6.628.169.572,157.259.011,6.785.428.583,,,6628169572.0,157259011.0,6785428583.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,(9.063.710.339),(14.774.065.763),(13.379.312.097),(37.217.088.199),,-9063710339.0,-14774065763.0,-13379312097.0,-37217088199.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,-,(2.665.939.487),(3.528.919.567),(889.381.800),(7.084.240.854),,-2665939487.0,-3528919567.0,-889381800.0,-7084240854.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,(11.729.649.826),(18.302.985.330),(14.268.693.897),(44.301.329.053),,-11729649826.0,-18302985330.0,-14268693897.0,-44301329053.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,1.458.632.000,83.814.152.936,14.875.144.866,4.495.944.783,104.643.874.585,1458632000.0,83814152936.0,14875144866.0,4495944783.0,104643874585.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.458.632.000,81.148.213.449,12.359.040.299,3.606.562.983,98.572.448.731,1458632000.0,81148213449.0,12359040299.0,3606562983.0,98572448731.0
