row_label_raw,row_label_full,Tên công ty liên doanh.liên kết,Địa điểm,Ngành nghề,Tỷ lệ lợi ích(%),Quyền biểu quyết(%),numeric__Địa điểm,numeric__Ngành nghề,numeric__Tỷ lệ lợi ích(%),numeric__Quyền biểu quyết(%)
1. Công ty TNHH Trồng rừng Trường Thành OJI,1. Công ty TNHH Trồng rừng Trường Thành OJI,1. Công ty TNHH Trồng rừng Trường Thành OJI,Phú Yên,Trồng rừng,"51,00","51,00",,,51.0,51.0
2. Công ty Cổ phần Bao bì Trường Thành,2. Công ty Cổ phần Bao bì Trường Thành,2. Công ty Cổ phần Bao bì Trường Thành,Thành phố Hồ Chí Minh,Bao bì,"43,76","43,76",,,43.76,43.76
3. Công ty Cổ phần Tekcom,3. Công ty Cổ phần Tekcom,3. Công ty Cổ phần Tekcom,Bình Dương,Sản xuất đồ gỗ,"19,20","19,20",,,19.2,19.2
4. Công ty Natuzzi Singapore PTE. Ltd.,4. Công ty Natuzzi Singapore PTE. Ltd.,4. Công ty Natuzzi Singapore PTE. Ltd.,Singapore,Kinh doanh nội thất,"20,00","20,00",,,20.0,20.0
