row_label_raw,row_label_full,Bên liên quan,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty Cổ phần Bao bì Trường Thành,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Trường Thành,Công ty Cổ phần Bao bì Trường Thành,Mua hàng,1.717.935.076,1.717.935.076,,1717935076.0,1717935076.0
Công ty TNHH Thương mại TTF,Phải trả người bán ngắn hạn > Công ty TNHH Thương mại TTF,Công ty TNHH Thương mại TTF,Mua hàng,1.605.397.120,1.084.600.000,,1605397120.0,1084600000.0
,,,,3.323.332.196,2.802.535.076,,3323332196.0,2802535076.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Công ty Cổ phần Tekcom Central,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Tekcom Central,Công ty Cổ phần Tekcom Central,Bán hàng,139.600.000.000,139.600.000.000,,139600000000.0,139600000000.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,
"OJI Paper Co., Ltd","Chi phí phải trả ngắn hạn > OJI Paper Co., Ltd","OJI Paper Co., Ltd",Bồi thường,48.820.000.000,47.370.000.000,,48820000000.0,47370000000.0
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,
Ông Mai Hữu Tín,Phải trả khác > Ông Mai Hữu Tín,Ông Mai Hữu Tín,Khác,3.160.674,11.258.740,,3160674.0,11258740.0
Ông Nguyễn Trọng Hiếu,Phải trả khác > Ông Nguyễn Trọng Hiếu,Ông Nguyễn Trọng Hiếu,Khác,-,36.347.430,,,36347430.0
,,,,3.160.674,47.606.170,,3160674.0,47606170.0
