row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc_1,Nhà cửa và vật kiến trúc_2,Nhà cửa và vật kiến trúc_3,Nhà cửa và vật kiến trúc_4,Nhà cửa và vật kiến trúc_5,numeric__Nhà cửa và vật kiến trúc,numeric__Nhà cửa và vật kiến trúc_1,numeric__Nhà cửa và vật kiến trúc_2,numeric__Nhà cửa và vật kiến trúc_3,numeric__Nhà cửa và vật kiến trúc_4,numeric__Nhà cửa và vật kiến trúc_5
,,,Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.127,259.005,290.409,99.074,12.357,678.972,18127.0,259005.0,290409.0,99074.0,12357.0,678972.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.153,62.194,106.719,20.462,10.880,201.408,1153.0,62194.0,106719.0,20462.0,10880.0,201408.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.108),(502),(885),(2.701),-206.0,,-1108.0,-502.0,-885.0,-2701.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.074,321.199,396.020,119.034,22.352,877.679,19074.0,321199.0,396020.0,119034.0,22352.0,877679.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.081,142.976,159.235,76.695,8.717,392.704,5081.0,142976.0,159235.0,76695.0,8717.0,392704.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,967,19.749,28.133,9.804,1.800,60.453,967.0,19749.0,28133.0,9804.0,1800.0,60453.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(206),-,(1.074),(502),(885),(2.667),-206.0,,-1074.0,-502.0,-885.0,-2667.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.842,162.725,186.294,85.997,9.632,450.490,5842.0,162725.0,186294.0,85997.0,9632.0,450490.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.046,116.029,131.174,22.379,3.640,286.268,13046.0,116029.0,131174.0,22379.0,3640.0,286268.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.232,158.474,209.726,33.037,12.720,427.189,13232.0,158474.0,209726.0,33037.0,12720.0,427189.0
