row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022(Triệu VND),Quá hạn > Đến 3 tháng,Quá hạn > Trên 3 tháng,Quá hạn > Đến 1 tháng,Quá hạn > Từ 1 đến 3 tháng,Trong hạn > Từ 3 đến 12 tháng,Trong hạn > Từ 1 năm đến 5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Đến 3 tháng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 1 tháng,numeric__Quá hạn > Từ 1 đến 3 tháng,numeric__Trong hạn > Từ 3 đến 12 tháng,numeric__Trong hạn > Từ 1 năm đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.037.807,-,-,-,-,1.037.807,,,1037807.0,,,,,1037807.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,9.826.851,-,-,-,-,9.826.851,,,9826851.0,,,,,9826851.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,31.378.185,10.390.225,3.300.000,-,-,45.068.410,,,31378185.0,10390225.0,3300000.0,,,45068410.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,3.987.085,-,-,-,-,3.987.085,,,3987085.0,,,,,3987085.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,569.193,2.460.105,10.254.253,15.829.437,75.773.756,33.797.222,15.272.026,153.955.992,569193.0,2460105.0,10254253.0,15829437.0,75773756.0,33797222.0,15272026.0,153955992.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,97.054,1.025.485,2.174.917,1.232.487,4.136.819,8.666.762,,,97054.0,1025485.0,2174917.0,1232487.0,4136819.0,8666762.0
Góp vốn đầu tư dài hạn - gộp,Tài sản > Góp vốn đầu tư dài hạn - gộp,Góp vốn đầu tư dài hạn - gộp,-,-,-,-,-,-,62.432,62.432,,,,,,,62432.0,62432.0
Tài sản cố định và Bất động sản đầu tư,Tài sản > Tài sản cố định và Bất động sản đầu tư,Tài sản cố định và Bất động sản đầu tư,-,-,-,-,-,2.533,1.141.206,1.143.739,,,,,,2533.0,1141206.0,1143739.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,-,-,1.154.603,1.776.795,5.120.111,981.135,1.135.709,10.168.353,,,1154603.0,1776795.0,5120111.0,981135.0,1135709.0,10168353.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,569.193,2.460.105,57.735.838,29.021.942,86.368.784,36.013.377,21.748.192,233.917.431,569193.0,2460105.0,57735838.0,29021942.0,86368784.0,36013377.0,21748192.0,233917431.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,1.700.330,53.201,2.085.165,-,-,3.838.696,,,1700330.0,53201.0,2085165.0,,,3838696.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,33.045.458,13.816.634,4.033.785,6.470.750,2.353.000,59.719.627,,,33045458.0,13816634.0,4033785.0,6470750.0,2353000.0,59719627.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,29.720.093,21.353.798,57.449.579,7.023.781,20,115.547.271,,,29720093.0,21353798.0,57449579.0,7023781.0,20.0,115547271.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(342.057),46.016,311.004,-,-,14.963,,,-342057.0,46016.0,311004.0,,,14963.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,1.020,-,1.020,,,,,,1020.0,,1020.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,6.000.000,15.504.600,-,21.504.600,,,,,6000000.0,15504600.0,,21504600.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,913.612,877.395,2.329.302,387.419,56.931,4.564.659,,,913612.0,877395.0,2329302.0,387419.0,56931.0,4564659.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,65.037.436,36.147.044,72.208.835,29.387.570,2.409.951,205.190.836,,,65037436.0,36147044.0,72208835.0,29387570.0,2409951.0,205190836.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,569.193,2.460.105,(7.301.598),(7.125.102),14.159.949,6.625.807,19.338.241,28.726.595,569193.0,2460105.0,-7301598.0,-7125102.0,14159949.0,6625807.0,19338241.0,28726595.0
