row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,12.087.442,-,287.688,168.422,1.126.826,13.670.378,12087442.0,,287688.0,168422.0,1126826.0,13670378.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,2.606.518,2.606.518,,,,,2606518.0,2606518.0
Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,Tăng vốn từ phát hành cổ phiếu,1.595.000,810.623,-,-,,2.405.623,1595000.0,810623.0,,,,2405623.0
Phát hành cổ phiếu để trả cổ tức (Thuyết minh 25),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 25),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 25),1.102.442,-,-,-,(1.102.442),-,1102442.0,,,,-1102442.0,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,266.355,133.176,(399.531),-,,,266355.0,133176.0,-399531.0,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(18.458),(18.458),,,,,-18458.0,-18458.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(797),(797),,,,,-797.0,-797.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,14.784.884,810.623,554.043,301.598,2.212.116,18.663.264,14784884.0,810623.0,554043.0,301598.0,2212116.0,18663264.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,14.784.884,810.623,554.043,301.598,2.212.116,18.663.264,14784884.0,810623.0,554043.0,301598.0,2212116.0,18663264.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,4.052.928,4.052.928,,,,,4052928.0,4052928.0
Tăng vốn từ phát hành cổ phiếu cho cổ đông hiện hữu,Tăng vốn từ phát hành cổ phiếu cho cổ đông hiện hữu,Tăng vốn từ phát hành cổ phiếu cho cổ đông hiện hữu,1.813.116,906.557,-,-,-,2.719.673,1813116.0,906557.0,,,,2719673.0
Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,Tăng vốn từ nguồn thẳng dư vốn cổ phần,809.996,(809.996),-,-,-,-,809996.0,-809996.0,,,,
Tăng vốn từ quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ quỹ dự trữ bổ sung vốn điều lệ,Tăng vốn từ quỹ dự trữ bổ sung vốn điều lệ,286.999,-,-,(286.999),-,-,286999.0,,,-286999.0,,
Phát hành cổ phiếu để trả cổ tức (Thuyết minh 25),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 25),Phát hành cổ phiếu để trả cổ tức (Thuyết minh 25),2.113.988,-,-,-,(2.113.988),-,2113988.0,,,,-2113988.0,
Phát hành theo chương trình lựa chọn cho người lao động,Phát hành theo chương trình lựa chọn cho người lao động,Phát hành theo chương trình lựa chọn cho người lao động,594.000,297.000,-,-,-,891.000,594000.0,297000.0,,,,891000.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,391.551,195.774,(587.325),-,,,391551.0,195774.0,-587325.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,(92.001),(92.001),,,,,-92001.0,-92001.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(2.644),(2.644),,,,,-2644.0,-2644.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,20.402.983,1.204.184,945.594,210.373,3.469.086,26.232.220,20402983.0,1204184.0,945594.0,210373.0,3469086.0,26232220.0
