row_label_raw,row_label_full,col_0,Dự phòng chung cho chứng khoán nợ sẵn sàng để bán Triệu VND,Dự phòng cụ thể chứng khoán nợ sẵn sàng để bán Triệu VND,TổngTriệu VND,numeric__Dự phòng chung cho chứng khoán nợ sẵn sàng để bán Triệu VND,numeric__Dự phòng cụ thể chứng khoán nợ sẵn sàng để bán Triệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,40.931,-,40.931,40931.0,,40931.0
Hoàn nhập dự phòng trong năm(Thuyết minh 31),Hoàn nhập dự phòng trong năm(Thuyết minh 31),Hoàn nhập dự phòng trong năm(Thuyết minh 31),(39.056),-,(39.056),-39056.0,,-39056.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.875,-,1.875,1875.0,,1875.0
