row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,377.995,348.816,14.701,741.512,377995.0,348816.0,14701.0,741512.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,47.006,816,47.822,,47006.0,816.0,47822.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(24.315),(4.384),(28.699),,-24315.0,-4384.0,-28699.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,377.995,371.507,11.133,760.635,377995.0,371507.0,11133.0,760635.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,153.545,8.976,162.521,,153545.0,8976.0,162521.0
Phân bổ trong năm,Hao mòn lũy kế > Phân bổ trong năm,Phân bổ trong năm,-,26.493,1.360,27.853,,26493.0,1360.0,27853.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(21.589),(4.385),(25.974),,-21589.0,-4385.0,-25974.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,158.449,5.951,164.400,,158449.0,5951.0,164400.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,377.995,195.271,5.725,578.991,377995.0,195271.0,5725.0,578991.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,377.995,213.058,5.182,596.235,377995.0,213058.0,5182.0,596235.0
