row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022(Triệu VND),USD,EUR,Khác,Tổng cộng,numeric__USD,numeric__EUR,numeric__Khác,numeric__Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,
Tiền mặt và vàng,Tải sản > Tiền mặt và vàng,Tiền mặt và vàng,121.607,38.137,13.818,173.562,121607.0,38137.0,13818.0,173562.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,1.170.338,-,-,1.170.338,1170338.0,,,1170338.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,2.793.441,58.318,46.342,2.898.101,2793441.0,58318.0,46342.0,2898101.0
Công cụ tài chính phải sinh và tài sảntài chính khác,Tải sản > Công cụ tài chính phải sinh và tài sảntài chính khác,Công cụ tài chính phải sinh và tài sảntài chính khác,7.859.683,,(2.971),7.856.712,7859683.0,,-2971.0,7856712.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.354.555,,-,2.354.555,2354555.0,,,2354555.0
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,492.802,379,2.967,496.148,492802.0,379.0,2967.0,496148.0
,,,14.792.426,96.834,60.156,14.949.416,14792426.0,96834.0,60156.0,14949416.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,12.782.509,-,2.967,12.785.476,12782509.0,,2967.0,12785476.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,1.826.265,96.289,38.620,1.961.174,1826265.0,96289.0,38620.0,1961174.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,216.953,992,521,218.466,216953.0,992.0,521.0,218466.0
,,,14.825.727,97.281,42.108,14.965.116,14825727.0,97281.0,42108.0,14965116.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,(33.301),(447),18.048,(15.700),-33301.0,-447.0,18048.0,-15700.0
