row_label_raw,row_label_full,a) Chi phí trả trước ngắn hạn,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Chi phí bán hàng chờ phân bổ,Chi phí bán hàng chờ phân bổ,Chi phí bán hàng chờ phân bổ,45.824.138.783,40.598.993.463,45824138783.0,40598993463.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",421.693.042,271.457.634,421693042.0,271457634.0
Chi phí thuê văn phòng,Chi phí thuê văn phòng,Chi phí thuê văn phòng,-,204.587.628,,204587628.0
Chi phí chờ phân bổ ngắn hạn khác,Chi phí chờ phân bổ ngắn hạn khác,Chi phí chờ phân bổ ngắn hạn khác,-,173.623.767,,173623767.0
Cộng,Cộng,Cộng,46.245.831.825,41.248.662.492,46245831825.0,41248662492.0
