row_label_raw,row_label_full,Vay và nợ thuê tài chính dài hạn,Cuối năm VND > Giá trị,Cuối năm VND > Số có khả năng trả nợ,Cuối năm VND > Tăng,Trong năm VND > Giảm,Trong năm VND > Giá trị,Đầu năm VND > Số có khả năng trả nợ,numeric__Cuối năm VND > Giá trị,numeric__Cuối năm VND > Số có khả năng trả nợ,numeric__Cuối năm VND > Tăng,numeric__Trong năm VND > Giảm,numeric__Trong năm VND > Giá trị,numeric__Đầu năm VND > Số có khả năng trả nợ
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
"Ngân hàng TMCP Phát Triển TP.HCM, CN VT (iii)","Vay dài hạn > Ngân hàng TMCP Phát Triển TP.HCM, CN VT (iii)","Ngân hàng TMCP Phát Triển TP.HCM, CN VT (iii)",211.985.490.632,211.985.490.632,87.686.014.810,123.509.508.196,247.808.984.018,247.808.984.018,211985490632.0,211985490632.0,87686014810.0,123509508196.0,247808984018.0,247808984018.0
"Ngân hàng TMCP Bưu điện Liên Việt, CN VT(iv)","Vay dài hạn > Ngân hàng TMCP Bưu điện Liên Việt, CN VT(iv)","Ngân hàng TMCP Bưu điện Liên Việt, CN VT(iv)",36.465.035.811,36.465.035.811,16.501.476.600,16.458.978.096,36.422.537.307,36.422.537.307,36465035811.0,36465035811.0,16501476600.0,16458978096.0,36422537307.0,36422537307.0
"Ngân hàng TMCP Á Châu, CN TP.HCM(v)","Vay dài hạn > Ngân hàng TMCP Á Châu, CN TP.HCM(v)","Ngân hàng TMCP Á Châu, CN TP.HCM(v)",144.537.479.952,144.537.479.952,43.249.987.066,41.962.494.180,143.249.987.066,143.249.987.066,144537479952.0,144537479952.0,43249987066.0,41962494180.0,143249987066.0,143249987066.0
Cộng,Vay dài hạn > Cộng,Cộng,392.988.006.395,392.988.006.395,147.437.478.476,181.930.980.472,427.481.508.391,427.481.508.391,392988006395.0,392988006395.0,147437478476.0,181930980472.0,427481508391.0,427481508391.0
