row_label_raw,row_label_full,b) Thuế và các khoản phải nộp nhà nước > Thuế giá trị gia tăng,Đầu năm VND > 334.366.740,Số phải nộp VND > 22.818.162.848,Số đã thực nộp VND > 20.760.083.100,Cuối năm VND > 2.392.446.488,numeric__Đầu năm VND > 334.366.740,numeric__Số phải nộp VND > 22.818.162.848,numeric__Số đã thực nộp VND > 20.760.083.100,numeric__Cuối năm VND > 2.392.446.488
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,25.889.281.893,35.331.558.665,30.771.271.533,30.449.569.025,25889281893.0,35331558665.0,30771271533.0,30449569025.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,100.246.670,3.481.227.954,3.074.447.704,507.026.920,100246670.0,3481227954.0,3074447704.0,507026920.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,215.233.200,215.233.200,-,,215233200.0,215233200.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,4.000.000,4.000.000,-,,4000000.0,4000000.0,
Cộng,Cộng,Cộng,26.323.895.303,61.850.182.667,54.825.035.537,33.349.042.433,26323895303.0,61850182667.0,54825035537.0,33349042433.0
