row_label_raw,row_label_full,Hàng tồn kho,Số cuối năm VND > Giá trị gốc,Số cuối năm VND > Dự phòng,Số đầu năm VND > Giá trị gốc,Số đầu năm VND > Dự phòng,numeric__Số cuối năm VND > Giá trị gốc,numeric__Số cuối năm VND > Dự phòng,numeric__Số đầu năm VND > Giá trị gốc,numeric__Số đầu năm VND > Dự phòng
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",2.421.646.030,,2.399.227.040,,2421646030.0,,2399227040.0,
"Chi phí sản xuất, KD dở dang (*)","Chi phí sản xuất, KD dở dang (*)","Chi phí sản xuất, KD dở dang (*)",3.375.499.008.547,,2.717.020.615.913,,3375499008547.0,,2717020615913.0,
Thành phẩm bất động sản,Thành phẩm bất động sản,Thành phẩm bất động sản,19.740.307.834,,16.177.240.961,,19740307834.0,,16177240961.0,
Cộng,Cộng,Cộng,3.397.660.962.411,,2.735.597.083.914,,3397660962411.0,,2735597083914.0,
