row_label_raw,row_label_full,Cổ đông,Số cuối năm > Giá trị VND,Số cuối năm > %,Số đầu năm > Giá trị VND,Số đầu năm > %,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > %,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > %
Vốn đầu tư của Nhà Nước,Vốn đầu tư của Nhà Nước,Vốn đầu tư của Nhà Nước,,,1.182.602.610.000,"49,65",,,1182602610000.0,49.65
PYN Elite Fund,PYN Elite Fund,PYN Elite Fund,108.576.520.000,"4,56",162.739.020.000,"6,83",108576520000.0,4.56,162739020000.0,6.83
Công ty CP Đầu tư Phát triển Thiên Tân,Công ty CP Đầu tư Phát triển Thiên Tân,Công ty CP Đầu tư Phát triển Thiên Tân,146.250.000.000,"6,14",116.250.000.000,"4,88",146250000000.0,6.14,116250000000.0,4.88
Amersham Industries Limited,Amersham Industries Limited,Amersham Industries Limited,262.000.000.000,"11,00",,,262000000000.0,11.0,,
Công ty CP Tae Kwang Vina Industrial,Công ty CP Tae Kwang Vina Industrial,Công ty CP Tae Kwang Vina Industrial,243.320.810.000,"10,22",19.588.400.000,"0,82",243320810000.0,10.22,19588400000.0,0.82
Vietnam Enterprise Investments Limited,Vietnam Enterprise Investments Limited,Vietnam Enterprise Investments Limited,138.680.970.000,"5,82",171.908.770.000,"7,22",138680970000.0,5.82,171908770000.0,7.22
Vốn góp của các cổ đông khác,Vốn góp của các cổ đông khác,Vốn góp của các cổ đông khác,1.483.119.890.000,"62,26",728.859.390.000,"30,60",1483119890000.0,62.26,728859390000.0,30.6
Cộng,Cộng,Cộng,2.381.948.190.000,100,2.381.948.190.000,100,2381948190000.0,100.0,2381948190000.0,100.0
