row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Tiền mặt,Tiền mặt,Tiền mặt,1.630.431.293,14.184.160.298,1630431293.0,14184160298.0
Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,111.261.902.111,152.283.204.591,111261902111.0,152283204591.0
VND,VND,VND,111.240.608.451,152.261.430.493,111240608451.0,152261430493.0
USD,USD,USD,21.293.660,21.774.098,21293660.0,21774098.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,75.110.901.621,,75110901621.0,
Ngân hàng TMCP Á Châu – CN Vũng Tàu,Ngân hàng TMCP Á Châu – CN Vũng Tàu,Ngân hàng TMCP Á Châu – CN Vũng Tàu,65.026.000.000,,65026000000.0,
Ngân hàng TMCP PT TP. HCM - CN Vũng Tàu,Ngân hàng TMCP PT TP. HCM - CN Vũng Tàu,Ngân hàng TMCP PT TP. HCM - CN Vũng Tàu,10.084.901.621,,10084901621.0,
Cộng,Cộng,Cộng,188.003.235.025,166.467.364.889,188003235025.0,166467364889.0
