row_label_raw,row_label_full,Vay ngắn hạn,Số cuối năm VND > Giá trị,Số cuối năm VND > Số có khả năng trả nợ,Số cuối năm VND > Tăng,Số trong năm VND > Giảm,Số trong năm VND > Giá trị,Số đầu năm VND > Số có khả năng trả nợ,numeric__Số cuối năm VND > Giá trị,numeric__Số cuối năm VND > Số có khả năng trả nợ,numeric__Số cuối năm VND > Tăng,numeric__Số trong năm VND > Giảm,numeric__Số trong năm VND > Giá trị,numeric__Số đầu năm VND > Số có khả năng trả nợ
"Ngân hàng TMCP Đầu tư & Phát triển, CN BRVT\( ^{(i)} \)","Ngân hàng TMCP Đầu tư & Phát triển, CN BRVT\( ^{(i)} \)","Ngân hàng TMCP Đầu tư & Phát triển, CN BRVT\( ^{(i)} \)",24.552.413.053,24.552.413.053,30.150.646.186,31.398.569.240,25.800.336.107,25.800.336.107,24552413053.0,24552413053.0,30150646186.0,31398569240.0,25800336107.0,25800336107.0
Ngân hàng TMCP Hàng hải CN Vũng Tàu\( ^{(ii)} \),Ngân hàng TMCP Hàng hải CN Vũng Tàu\( ^{(ii)} \),Ngân hàng TMCP Hàng hải CN Vũng Tàu\( ^{(ii)} \),35.000.000.000,35.000.000.000,35.000.000.000,39.200.000.000,39.200.000.000,39.200.000.000,35000000000.0,35000000000.0,35000000000.0,39200000000.0,39200000000.0,39200000000.0
"Ngân hàng Nông nghiệp & PTNT, CN tỉnh Đồng Nai","Ngân hàng Nông nghiệp & PTNT, CN tỉnh Đồng Nai","Ngân hàng Nông nghiệp & PTNT, CN tỉnh Đồng Nai",-,-,-,81.500.000.000,81.500.000.000,81.500.000.000,,,,81500000000.0,81500000000.0,81500000000.0
"Ngân hàng TMCP Phát Triển TP.HCM, CN VT\( ^{(iii)} \)","Ngân hàng TMCP Phát Triển TP.HCM, CN VT\( ^{(iii)} \)","Ngân hàng TMCP Phát Triển TP.HCM, CN VT\( ^{(iii)} \)",105.972.171.196,105.972.171.196,105.972.171.196,61.941.791.397,61.941.791.397,61.941.791.397,105972171196.0,105972171196.0,105972171196.0,61941791397.0,61941791397.0,61941791397.0
"Ngân hàng TMCP Bưu điện Liên Việt, CN VT\( ^{(iv)} \)","Ngân hàng TMCP Bưu điện Liên Việt, CN VT\( ^{(iv)} \)","Ngân hàng TMCP Bưu điện Liên Việt, CN VT\( ^{(iv)} \)",16.031.590.096,16.031.590.096,16.031.590.096,3.074.729.166,3.074.729.166,3.074.729.166,16031590096.0,16031590096.0,16031590096.0,3074729166.0,3074729166.0,3074729166.0
"Ngân hàng TMCP Phương Đông, CN Vũng Tàu","Ngân hàng TMCP Phương Đông, CN Vũng Tàu","Ngân hàng TMCP Phương Đông, CN Vũng Tàu",-,-,46.256.402.000,50.669.395.000,4.412.993.000,4.412.993.000,,,46256402000.0,50669395000.0,4412993000.0,4412993000.0
"Ngân hàng TMCP Á Châu, CN TP.HCM\( ^{(v)} \)","Ngân hàng TMCP Á Châu, CN TP.HCM\( ^{(v)} \)","Ngân hàng TMCP Á Châu, CN TP.HCM\( ^{(v)} \)",41.962.494.180,41.962.494.180,41.962.494.180,-,-,-,41962494180.0,41962494180.0,41962494180.0,,,
Vay cá nhân,Vay cá nhân,Vay cá nhân,100.000.000,100.000.000,-,-,100.000.000,100.000.000,100000000.0,100000000.0,,,100000000.0,100000000.0
Cộng,Cộng,Cộng,223.618.668.525,223.618.668.525,275.373.303.658,267.784.484.803,216.029.849.670,216.029.849.670,223618668525.0,223618668525.0,275373303658.0,267784484803.0,216029849670.0,216029849670.0
