row_label_raw,row_label_full,Dự án,Số tiền VND,Số tiền đã giải ngân VND,Số tiền còn lại VND,numeric__Số tiền VND,numeric__Số tiền đã giải ngân VND,numeric__Số tiền còn lại VND
Dự án Khu đô thị An Thới,Dự án Khu đô thị An Thới,Dự án Khu đô thị An Thới,19.000.000.000,19.000.000.000,-,19000000000.0,19000000000.0,
Dự án KĐTM Nam Vĩnh Yên,Dự án KĐTM Nam Vĩnh Yên,Dự án KĐTM Nam Vĩnh Yên,60.250.000.000,60.250.000.000,-,60250000000.0,60250000000.0,
Dự án Chung cư DIC Phoenix,Dự án Chung cư DIC Phoenix,Dự án Chung cư DIC Phoenix,130.000.000.000,130.000.000.000,-,130000000000.0,130000000000.0,
Tổng cộng,Tổng cộng,Tổng cộng,209.250.000.000,209.250.000.000,-,209250000000.0,209250000000.0,
