row_label_raw,row_label_full,14. Phải trả người bán ngắn hạn,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Phải trả người bán là các bên liên quan,Phải trả người bán là các bên liên quan,Phải trả người bán là các bên liên quan,160.916.513.498,58.488.425.403,160916513498.0,58488425403.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,58.970.208.460,23.153.842.383,58970208460.0,23153842383.0
Công ty CP Du Lịch Và Thương Mại DIC,Công ty CP Du Lịch Và Thương Mại DIC,Công ty CP Du Lịch Và Thương Mại DIC,1.309.778.962,2.691.183.468,1309778962.0,2691183468.0
Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,5.269.143.507,-,5269143507.0,
Công ty CP Đầu tư Phát triển Xây dựng DIC Số 2,Công ty CP Đầu tư Phát triển Xây dựng DIC Số 2,Công ty CP Đầu tư Phát triển Xây dựng DIC Số 2,28.137.737.377,12.357.690.159,28137737377.0,12357690159.0
Công ty CP Bất Động Sản DIC,Công ty CP Bất Động Sản DIC,Công ty CP Bất Động Sản DIC,10.115.029.158,2.313.913.226,10115029158.0,2313913226.0
Công ty CP DIC Số 4,Công ty CP DIC Số 4,Công ty CP DIC Số 4,47.868.185.742,9.150.325.100,47868185742.0,9150325100.0
Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,9.246.430.292,8.821.471.067,9246430292.0,8821471067.0
Phải trả người bán là bên ngoài,Phải trả người bán là bên ngoài,Phải trả người bán là bên ngoài,53.787.101.248,57.148.188.941,53787101248.0,57148188941.0
Công ty TNHH Xuân Vy,Công ty TNHH Xuân Vy,Công ty TNHH Xuân Vy,2.592.612.614,2.025.885.297,2592612614.0,2025885297.0
Công ty TNHH Kỹ nghệ Toàn Tâm (TTE.Co),Công ty TNHH Kỹ nghệ Toàn Tâm (TTE.Co),Công ty TNHH Kỹ nghệ Toàn Tâm (TTE.Co),4.333.824.000,6.814.375.000,4333824000.0,6814375000.0
Công ty TNHH Thang máy và Thiết bị Thăng Long,Công ty TNHH Thang máy và Thiết bị Thăng Long,Công ty TNHH Thang máy và Thiết bị Thăng Long,-,19.371.000.000,,19371000000.0
Công ty TNHH Xây dựng Phương Linh,Công ty TNHH Xây dựng Phương Linh,Công ty TNHH Xây dựng Phương Linh,1.662.862.000,7.543.765.000,1662862000.0,7543765000.0
Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,Công ty TNHH CP Kỹ thuật TM-DV kỹ nghệ Việt,8.678.346.800,-,8678346800.0,
Công ty CP Đầu tư Nam Á,Công ty CP Đầu tư Nam Á,Công ty CP Đầu tư Nam Á,2.990.867.646,-,2990867646.0,
Công ty CP ĐT PTXD Phước An,Công ty CP ĐT PTXD Phước An,Công ty CP ĐT PTXD Phước An,4.305.324.794,-,4305324794.0,
Liên danh Công ty Lê Huỳnh - Sông La,Liên danh Công ty Lê Huỳnh - Sông La,Liên danh Công ty Lê Huỳnh - Sông La,2.690.489.000,-,2690489000.0,
Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,26.532.774.394,21.393.163.644,26532774394.0,21393163644.0
Cộng,Cộng,Cộng,214.703.614.746,115.636.614.344,214703614746.0,115636614344.0
