row_label_raw,row_label_full,a) Phải thu ngắn hạn khác,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
Tạm ứng,Tạm ứng,Tạm ứng,15.707.263.461,(6.523.956.904),25.228.842.988,(6.599.860.449),15707263461.0,-6523956904.0,25228842988.0,-6599860449.0
Phải thu khác,Phải thu khác,Phải thu khác,91.693.436.594,-,83.230.465.573,-,91693436594.0,,83230465573.0,
Phải thu các bên liên quan,Phải thu các bên liên quan,Phải thu các bên liên quan,17.135.725.041,-,42.926.964.540,-,17135725041.0,,42926964540.0,
Ứng trước tiền đền bù dự án Long Tân,Ứng trước tiền đền bù dự án Long Tân,Ứng trước tiền đền bù dự án Long Tân,40.412.625.600,-,28.217.555.600,-,40412625600.0,,28217555600.0,
Ứng trước đền bù dự án Bắc Vũng Tàu,Ứng trước đền bù dự án Bắc Vũng Tàu,Ứng trước đền bù dự án Bắc Vũng Tàu,13.025.000.000,-,10.075.000.000,-,13025000000.0,,10075000000.0,
Ứng trước đền bù dự án Bầu Trũng,Ứng trước đền bù dự án Bầu Trũng,Ứng trước đền bù dự án Bầu Trũng,2.000.000.000,-,,,2000000000.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,19.120.085.953,-,2.010.945.433,-,19120085953.0,,2010945433.0,
Cộng,Cộng,Cộng,107.400.700.055,(6.523.956.904),108.459.308.561,(6.599.860.449),107400700055.0,-6523956904.0,108459308561.0,-6599860449.0
