row_label_raw,row_label_full,1. Tổng doanh thu bán hàng và cung cấp dịch vụ,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,1.581.949.512,2.791.542.400,1581949512.0,2791542400.0
Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,25.565.013.500,104.994.944.980,25565013500.0,104994944980.0
Doanh thu kinh doanh bắt động sản,Doanh thu kinh doanh bắt động sản,Doanh thu kinh doanh bắt động sản,1.005.205.178.429,605.032.148.500,1005205178429.0,605032148500.0
Doanh thu kinh doanh bắt động sản đầu tư,Doanh thu kinh doanh bắt động sản đầu tư,Doanh thu kinh doanh bắt động sản đầu tư,3.374.235.992,3.374.235.992,3374235992.0,3374235992.0
Cộng,Cộng,Cộng,1.035.726.377.433,716.192.871.872,1035726377433.0,716192871872.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,Năm nay VND,Năm trước VND,,
Hàng bán bị trả lại,2. Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,109.055.920.967,162.708.886.794,109055920967.0,162708886794.0
Cộng,2. Các khoản giảm trừ doanh thu > Cộng,Cộng,109.055.920.967,162.708.886.794,109055920967.0,162708886794.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm nay VND,Năm trước VND,,
Doanh thu thuần cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần cung cấp dịch vụ,Doanh thu thuần cung cấp dịch vụ,1.581.949.512,2.791.542.400,1581949512.0,2791542400.0
Doanh thu thuần hợp đồng xây dựng,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần hợp đồng xây dựng,Doanh thu thuần hợp đồng xây dựng,25.565.013.500,104.994.944.980,25565013500.0,104994944980.0
Doanh thu thuần kinh doanh bắt động sản,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần kinh doanh bắt động sản,Doanh thu thuần kinh doanh bắt động sản,896.149.257.462,442.323.261.706,896149257462.0,442323261706.0
Doanh thu thuần kinh doanh bắt động sản đầu tư,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần kinh doanh bắt động sản đầu tư,Doanh thu thuần kinh doanh bắt động sản đầu tư,3.374.235.992,3.374.235.992,3374235992.0,3374235992.0
Cộng,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ > Cộng,Cộng,926.670.456.466,553.483.985.078,926670456466.0,553483985078.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,Năm nay VND,Năm trước VND,,
Giá vốn của dịch vụ đã cung cấp,4. Giá vốn hàng bán > Giá vốn của dịch vụ đã cung cấp,Giá vốn của dịch vụ đã cung cấp,1.189.743.627,2.163.198.106,1189743627.0,2163198106.0
Giá vốn của hợp đồng xây dựng,4. Giá vốn hàng bán > Giá vốn của hợp đồng xây dựng,Giá vốn của hợp đồng xây dựng,23.347.718.624,97.682.724.793,23347718624.0,97682724793.0
Giá vốn kinh doanh bắt động sản,4. Giá vốn hàng bán > Giá vốn kinh doanh bắt động sản,Giá vốn kinh doanh bắt động sản,759.113.990.933,259.895.524.663,759113990933.0,259895524663.0
Chi phí kinh doanh Bất động sản đầu tư,4. Giá vốn hàng bán > Chi phí kinh doanh Bất động sản đầu tư,Chi phí kinh doanh Bất động sản đầu tư,2.889.116.656,2.889.116.656,2889116656.0,2889116656.0
Cộng,4. Giá vốn hàng bán > Cộng,Cộng,786.540.569.840,362.630.564.218,786540569840.0,362630564218.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,Năm nay VND,Năm trước VND,,
"Lãi tiền gửi, tiền cho vay","5. Doanh thu hoạt động tài chính > Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",19.094.844.623,13.087.004.292,19094844623.0,13087004292.0
"Lãi bán trái phiếu, kỳ phiếu, tín phiếu","5. Doanh thu hoạt động tài chính > Lãi bán trái phiếu, kỳ phiếu, tín phiếu","Lãi bán trái phiếu, kỳ phiếu, tín phiếu",68.382.171.790,4.216.000.000,68382171790.0,4216000000.0
"Cổ tức, lợi nhuận được chia","5. Doanh thu hoạt động tài chính > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",9.931.472.700,13.216.374.585,9931472700.0,13216374585.0
Lãi chênh lệch tỷ giá,5. Doanh thu hoạt động tài chính > Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,315.689.181,2.364.374.183,315689181.0,2364374183.0
