row_label_raw,row_label_full,Nội dung nghiệp vụ/Bên liên quan,Mối quan hệ,Giá trị giao dịch VND,Số dư cuối kỳ phải thu/(phải trả) VND,numeric__Mối quan hệ,numeric__Giá trị giao dịch VND,numeric__Số dư cuối kỳ phải thu/(phải trả) VND
"Phải thu ngắn hạn về cung cấp SP, dịch vụ","Phải thu ngắn hạn về cung cấp SP, dịch vụ","Phải thu ngắn hạn về cung cấp SP, dịch vụ",,2.112.831.752,253.486.932.170,,2112831752.0,253486932170.0
Công ty CP Đầu tư Phát triển XD Số 1,Công ty CP Đầu tư Phát triển XD Số 1,Công ty CP Đầu tư Phát triển XD Số 1,Công ty con,178.684.762,23.716.352,,178684762.0,23716352.0
Công ty CP Du Lịch và Thương Mại DIC,Công ty CP Du Lịch và Thương Mại DIC,Công ty CP Du Lịch và Thương Mại DIC,Công ty con,-,-,,,
Công ty CP Cấu kiện Bê tông DIC Miền Đông,Công ty CP Cấu kiện Bê tông DIC Miền Đông,Công ty CP Cấu kiện Bê tông DIC Miền Đông,Công ty con,-,-,,,
Công ty CP ĐtPTXD (DIC) Số 2,Công ty CP Cấu kiện Bê tông DIC Miền Đông > Công ty CP ĐtPTXD (DIC) Số 2,Công ty CP ĐtPTXD (DIC) Số 2,Công ty con,552.000,552.000,,552000.0,552000.0
Công ty CP Bất Đông Sản DIC,Công ty CP Cấu kiện Bê tông DIC Miền Đông > Công ty CP Bất Đông Sản DIC,Công ty CP Bất Đông Sản DIC,Công ty liên kết,396.192.500,299.677.500,,396192500.0,299677500.0
Công ty Cổ Phần Vina Đại Phước,Công ty CP Cấu kiện Bê tông DIC Miền Đông > Công ty Cổ Phần Vina Đại Phước,Công ty Cổ Phần Vina Đại Phước,Công ty liên kết,388.529.027,77.485.045,,388529027.0,77485045.0
Công ty CP Đầu tư Phát triển XD-Bê Tông,Công ty CP Cấu kiện Bê tông DIC Miền Đông > Công ty CP Đầu tư Phát triển XD-Bê Tông,Công ty CP Đầu tư Phát triển XD-Bê Tông,Công ty liên kết,358.093.451,89.405.388,,358093451.0,89405388.0
Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Cấu kiện Bê tông DIC Miền Đông > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,775.577.512,1.039.018.514,,775577512.0,1039018514.0
Công ty CP Đầu Tư Việt Thiên Lâm,Công ty CP Cấu kiện Bê tông DIC Miền Đông > Công ty CP Đầu Tư Việt Thiên Lâm,Công ty CP Đầu Tư Việt Thiên Lâm,Công ty liên kết,-,199.363.995.196,,,199363995196.0
Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty liên kết,-,-,,,
Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu,Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu,Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu,Công ty liên kết,-,-,,,
Công ty CP DIC Số 4,Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu > Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,15.202.500,52.500.000.000,,15202500.0,52500000000.0
Công ty TNHH J&D Đại An,Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu > Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Bên liên quan,-,93.082.175,,,93082175.0
Phải thu của khách hàng dài hạn,Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu > Phải thu của khách hàng dài hạn,Phải thu của khách hàng dài hạn,,,168.674.434.812,,,168674434812.0
Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu > Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,Bên liên quan,-,119.618.397.118,,,119618397118.0
Ông Phan Văn Bình,Công ty CP ĐTPTXD Du Lịch Thể Thao Vũng Tàu > Ông Phan Văn Bình,Ông Phan Văn Bình,Bên liên quan,-,20.369.021.195,,,20369021195.0
