row_label_raw,row_label_full,Nguyên giá,Nguyên giá_1,numeric__Nguyên giá_1
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,624.157.000,624157000.0
Mua trong kỳ,Mua trong kỳ,Mua trong kỳ,,
Số dư cuối kỳ,Mua trong kỳ > Số dư cuối kỳ,Số dư cuối kỳ,624.157.000,624157000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,147.826.644,147826644.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.425.184,16425184.0
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,164.251.828,164251828.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,476.330.356,476330356.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,459.905.172,459905172.0
