row_label_raw,row_label_full,5. Doanh thu hoạt động tài chính,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Cộng,Cộng,Cộng,97.724.178.294,32.883.753.060,97724178294.0,32883753060.0
6. Chi phí tài chính,6. Chi phí tài chính,6. Chi phí tài chính,Năm nay VND,Năm trước VND,,
Chi phí lãi vay,6. Chi phí tài chính > Chi phí lãi vay,Chi phí lãi vay,6.802.884.400,5.004.898.055,6802884400.0,5004898055.0
"Chiết khấu thanh toán, lãi bán hàng trả chậm","6. Chi phí tài chính > Chiết khấu thanh toán, lãi bán hàng trả chậm","Chiết khấu thanh toán, lãi bán hàng trả chậm",99.155.303,27.324.528,99155303.0,27324528.0
Lỗ do thanh lý các khoản đầu tư tài chính,6. Chi phí tài chính > Lỗ do thanh lý các khoản đầu tư tài chính,Lỗ do thanh lý các khoản đầu tư tài chính,12.598.303.924,447.051.297,12598303924.0,447051297.0
Lỗ chênh lệch tỷ giá,6. Chi phí tài chính > Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,,23.419.265.222,,23419265222.0
Dự phòng giảm giá chứng khoán KD và tổn thất đầu tư,6. Chi phí tài chính > Dự phòng giảm giá chứng khoán KD và tổn thất đầu tư,Dự phòng giảm giá chứng khoán KD và tổn thất đầu tư,(456.527.055),8.813.773.390,-456527055.0,8813773390.0
Cộng,6. Chi phí tài chính > Cộng,Cộng,19.043.816.572,37.712.312.492,19043816572.0,37712312492.0
7. Chi phí bán hàng và chi phí quản lý doanh nghiệp,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp,Năm nay VND,Năm trước VND,,
Chi phí bán hàng,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí bán hàng,Chi phí bán hàng,27.046.800.288,7.987.650.802,27046800288.0,7987650802.0
Chi phí môi giới,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí môi giới,Chi phí môi giới,25.646.586.234,7.015.924.657,25646586234.0,7015924657.0
"Chi phí tiếp thị, quảng cáo","7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí tiếp thị, quảng cáo","Chi phí tiếp thị, quảng cáo",603.847.752,621.153.818,603847752.0,621153818.0
Chi phí khác,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,796.366.302,350.572.327,796366302.0,350572327.0
Chi phí quản lý doanh nghiệp,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,63.299.284.065,51.792.360.562,63299284065.0,51792360562.0
Chi phí cho nhân viên quản lý,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí cho nhân viên quản lý,Chi phí cho nhân viên quản lý,26.171.428.637,23.821.683.769,26171428637.0,23821683769.0
Chi phí nhiên liệu,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí nhiên liệu,Chi phí nhiên liệu,1.026.338.316,860.271.629,1026338316.0,860271629.0
"Chi phí công cụ , dụng cụ","7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí công cụ , dụng cụ","Chi phí công cụ , dụng cụ",517.911.228,475.108.541,517911228.0,475108541.0
Chi phí khấu hao,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,3.239.011.744,2.724.638.429,3239011744.0,2724638429.0
Chi phí mua ngoài,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí mua ngoài,Chi phí mua ngoài,1.069.901.467,1.073.554.135,1069901467.0,1073554135.0
Chi phí khác,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,31.274.692.673,22.837.104.059,31274692673.0,22837104059.0
Cộng,7. Chi phí bán hàng và chi phí quản lý doanh nghiệp > Cộng,Cộng,90.346.084.353,59.780.011.364,90346084353.0,59780011364.0
8. Lợi nhuận khác,8. Lợi nhuận khác,8. Lợi nhuận khác,Năm nay VND,Năm trước VND,,
Thu nhập khác,8. Lợi nhuận khác > Thu nhập khác,Thu nhập khác,35.389.060.414,2.428.566.002,35389060414.0,2428566002.0
Chênh lệch do đánh giá tài sản góp vốn,8. Lợi nhuận khác > Chênh lệch do đánh giá tài sản góp vốn,Chênh lệch do đánh giá tài sản góp vốn,29.634.531.796,,29634531796.0,
Thu tiền phạt do vi phạm hợp đồng kinh tế,8. Lợi nhuận khác > Thu tiền phạt do vi phạm hợp đồng kinh tế,Thu tiền phạt do vi phạm hợp đồng kinh tế,3.102.297.422,1.426.722.039,3102297422.0,1426722039.0
Thu tiền phạt lãi do chậm thanh toán,8. Lợi nhuận khác > Thu tiền phạt lãi do chậm thanh toán,Thu tiền phạt lãi do chậm thanh toán,923.683.227,616.337.002,923683227.0,616337002.0
Thu nhập do chi hộ,8. Lợi nhuận khác > Thu nhập do chi hộ,Thu nhập do chi hộ,625.525.238,129.328.455,625525238.0,129328455.0
Thu thanh lý công cụ,8. Lợi nhuận khác > Thu thanh lý công cụ,Thu thanh lý công cụ,7.272.727,,7272727.0,
Thu nhập khác,8. Lợi nhuận khác > Thu nhập khác,Thu nhập khác,1.095.750.004,256.178.506,1095750004.0,256178506.0
