row_label_raw,row_label_full,9. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,160.964.281.947,128.135.130.882,160964281947.0,128135130882.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,37.347.013.135,26.034.369.584,37347013135.0,26034369584.0
Các khoản chi phí không được trừ,Các khoản chi phí không được trừ,Các khoản chi phí không được trừ,13.640.462.064,2.615.104.362,13640462064.0,2615104362.0
Tiền hỗ trợ cho tỉnh Kiên Giang theo cam kết đầu tư,Tiền hỗ trợ cho tỉnh Kiên Giang theo cam kết đầu tư,Tiền hỗ trợ cho tỉnh Kiên Giang theo cam kết đầu tư,10.000.000.000,-,10000000000.0,
Chênh lệch tỷ giá hối đoái đã thực hiện (Vina Đại Phước),Chênh lệch tỷ giá hối đoái đã thực hiện (Vina Đại Phước),Chênh lệch tỷ giá hối đoái đã thực hiện (Vina Đại Phước),13.706.551.071,23.419.265.222,13706551071.0,23419265222.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(21.653.501.759),(15.580.466.957),-21653501759.0,-15580466957.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,(9.931.472.700),(13.216.374.585),-9931472700.0,-13216374585.0
Hợp đồng liên doanh ATA,Hợp đồng liên doanh ATA,Hợp đồng liên doanh ATA,(2.498.899.711),-,-2498899711.0,
Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,Hoàn nhập dự phòng nợ phải thu khó đòi,(9.223.129.348),-,-9223129348.0,
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,(2.364.092.372),,-2364092372.0
Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,Tổng lợi nhuận tính thuế,176.657.793.323,138.589.033.509,176657793323.0,138589033509.0
Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,20%,0.2,0.2
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,35.331.558.665,27.717.806.702,35331558665.0,27717806702.0
