row_label_raw,row_label_full,Bà Phan Thị Mai Hương,Ủy viên HĐQT - Thành viên độc lập,Trường tiểu ban,numeric__Ủy viên HĐQT - Thành viên độc lập,numeric__Trường tiểu ban
Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Ông Nguyễn Quang Tín,Ủy viên HĐQT,Thành viên,,
Ông Hoàng Duy Thịnh,Ông Hoàng Duy Thịnh,Ông Hoàng Duy Thịnh,Giám đốc nhân sự,Thành viên,,
