row_label_raw,row_label_full,10. Chi phí sản xuất kinh doanh theo yếu tố,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",766.379.386.999,1.335.380.170,766379386999.0,1335380170.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,47.146.308.069,42.041.120.406,47146308069.0,42041120406.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,6.602.196.698,6.242.152.566,6602196698.0,6242152566.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,27.904.830.532,704.777.754.575,27904830532.0,704777754575.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,689.952.636.336,53.435.298.161,689952636336.0,53435298161.0
Cộng,Cộng,Cộng,1.537.985.358.634,807.831.705.878,1537985358634.0,807831705878.0
