row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Đơn vị tính: đông Việt Nam > Số cuối năm,Đơn vị tính: đông Việt Nam > Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Đơn vị tính: đông Việt Nam > Số cuối năm,numeric__Đơn vị tính: đông Việt Nam > Số đầu năm
200,200,200,TÀI SẢN DÀI HẠN,,1.350.730.981.967,1.587.661.069.157,,,1350730981967.0,1587661069157.0
210,210,210,Các khoản phải thu dài hạn,,298.715.111.538,314.195.645.365,,,298715111538.0,314195645365.0
211,211,211,Phải thu dài hạn của khách hàng,V.3,168.674.434.812,168.674.434.812,,,168674434812.0,168674434812.0
212,212,212,Trả trước cho người bán dài hạn,,-,-,,,,
213,213,213,Vốn kinh doanh ở đơn vị trực thuộc,,-,-,,,,
214,214,214,Phải thu nội bộ dài hạn,,-,-,,,,
215,214 > 215,215,Phải thu về cho vay dài hạn,V.5,42.722.316.958,58.202.850.785,,,42722316958.0,58202850785.0
216,214 > 216,216,Phải thu dài hạn khác,V.6,87.318.359.768,87.318.359.768,,,87318359768.0,87318359768.0
219,219,219,Dự phòng phải thu dài hạn khó đòi (*),,-,-,,,,
220,219 > 220,220,Tài sản cố định,,27.539.727.886,26.281.783.783,,,27539727886.0,26281783783.0
221,219 > 221,221,Tài sản cố định hữu hình,V.10,27.079.822.714,25.805.453.427,,,27079822714.0,25805453427.0
222,219 > 222,222,Nguyên giá,,56.146.422.675,51.326.941.349,,,56146422675.0,51326941349.0
223,219 > 223,223,Giá trị hao mòn lũy kế (*),,(29.066.599.961),(25.521.487.922),,,-29066599961.0,-25521487922.0
224,224,224,Tài sản cố định thuê tài chính,,-,-,,,,
225,225,225,Nguyên giá,,-,-,,,,
226,226,226,Giá trị hao mòn lũy kế (*),,-,-,,,,
227,226 > 227,227,Tài sản cố định vô hình,V.11,459.905.172,476.330.356,,,459905172.0,476330356.0
228,226 > 228,228,Nguyên giá,,624.157.000,624.157.000,,,624157000.0,624157000.0
229,226 > 229,229,Giá trị hao mòn lũy kế (*),,(164.251.828),(147.826.644),,,-164251828.0,-147826644.0
230,226 > 230,230,Bất động sản đầu tư,V.12,118.213.023.253,121.102.139.909,,,118213023253.0,121102139909.0
231,226 > 231,231,Nguyên giá,,144.455.832.878,144.455.832.878,,,144455832878.0,144455832878.0
232,226 > 232,232,Giá trị hao mòn lũy kế (*),,(26.242.809.625),(23.353.692.969),,,-26242809625.0,-23353692969.0
240,226 > 240,240,Tài sản dở dang dài hạn,,1.173.048.503,1.068.269.412,,,1173048503.0,1068269412.0
241,241,241,"Chi phí sản xuất, kinh doanh dở dang dài hạn",,-,-,,,,
242,241 > 242,242,Chi phí xây dựng cơ bản dở dang,V.13,1.173.048.503,1.068.269.412,,,1173048503.0,1068269412.0
250,241 > 250,250,Đầu tư tài chính dài hạn,V.2,901.192.499.647,1.119.003.825.781,,,901192499647.0,1119003825781.0
251,241 > 251,251,Đầu tư vào công ty con,,357.911.278.865,292.488.358.865,,,357911278865.0,292488358865.0
252,241 > 252,252,"Đầu tư vào công ty liên doanh, liên kết",,361.069.657.533,811.869.657.533,,,361069657533.0,811869657533.0
253,241 > 253,253,Đầu tư góp vốn vào đơn vị khác,,300.108.455.407,148.999.228.596,,,300108455407.0,148999228596.0
254,241 > 254,254,Dự phòng đầu tư tài chính dài hạn (*),,(133.896.892.158),(134.353.419.213),,,-133896892158.0,-134353419213.0
255,241 > 255,255,Đầu tư nắm giữ đến ngày đáo hạn,,16.000.000.000,-,,,16000000000.0,
260,241 > 260,260,Tài sản dài hạn khác,,3.897.571.140,6.009.404.907,,,3897571140.0,6009404907.0
261,241 > 261,261,Chi phí trả trước dài hạn,V.8,3.897.571.140,6.009.404.907,,,3897571140.0,6009404907.0
262,262,262,Tài sản thuế thu nhập hoãn lại,,-,-,,,,
263,263,263,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",,-,-,,,,
268,268,268,Tài sản dài hạn khác,,-,-,,,,
270,268 > 270,270,TỔNG CỘNG TÀI SẢN,,5.873.702.833.801,5.574.570.919.435,,,5873702833801.0,5574570919435.0
