row_label_raw,row_label_full,17. Chi phí phải trả ngắn hạn,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Lãi trái phiếu phải trả,Lãi trái phiếu phải trả,Lãi trái phiếu phải trả,66.406.250.000,66.718.750.000,66406250000.0,66718750000.0
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,10.272.451.203,8.764.524.469,10272451203.0,8764524469.0
Chi phí đầu tư khu phức hợp 34ha- thuộc nghĩa vụ Taekwang,Chi phí đầu tư khu phức hợp 34ha- thuộc nghĩa vụ Taekwang,Chi phí đầu tư khu phức hợp 34ha- thuộc nghĩa vụ Taekwang,1.052.245.085,1.052.245.085,1052245085.0,1052245085.0
Chi phí dự án khu biệt thư đổi An Sơn - TP. Đà Lạt,Chi phí dự án khu biệt thư đổi An Sơn - TP. Đà Lạt,Chi phí dự án khu biệt thư đổi An Sơn - TP. Đà Lạt,1.900.537.479,-,1900537479.0,
Hệ thống PCCC Cao ốc Thủy Tiên,Hệ thống PCCC Cao ốc Thủy Tiên,Hệ thống PCCC Cao ốc Thủy Tiên,4.189.168.182,-,4189168182.0,
Các khoản trích trước khác,Các khoản trích trước khác,Các khoản trích trước khác,2.239.120.075,1.471.836.012,2239120075.0,1471836012.0
Cộng,Cộng,Cộng,86.059.772.024,78.007.355.566,86059772024.0,78007355566.0
