row_label_raw,row_label_full,a) Phải trả ngắn hạn khác,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,482.891.201,215.209.362,482891201.0,215209362.0
"Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp",47.705.592,8.072.198,47705592.0,8072198.0
Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,-,34.082.760.007,,34082760007.0
Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,3.578.338.160,688.136.160,3578338160.0,688136160.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,630.292.657,572.335.205,630292657.0,572335205.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",93.711.731.925,118.403.569.067,93711731925.0,118403569067.0
Phải trả chi phí đền bù giải tỏa,Phải trả chi phí đền bù giải tỏa,Phải trả chi phí đền bù giải tỏa,53.034.154.726,56.499.293.289,53034154726.0,56499293289.0
Lệ phí trước bạ và phí bảo trì chung cư,Lệ phí trước bạ và phí bảo trì chung cư,Lệ phí trước bạ và phí bảo trì chung cư,34.313.329.501,27.332.993.660,34313329501.0,27332993660.0
Phải trả góp vốn hợp tác kinh doanh,Phải trả góp vốn hợp tác kinh doanh,Phải trả góp vốn hợp tác kinh doanh,-,15.159.498.714,,15159498714.0
Khác,Khác,Khác,6.364.247.698,19.411.783.404,6364247698.0,19411783404.0
Cộng,Cộng,Cộng,98.450.959.535,153.970.081.999,98450959535.0,153970081999.0
b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,Số cuối năm VND,Số đầu năm VND,,
Nhận ký quỹ ký cược dài hạn,b) Phải trả dài hạn khác > Nhận ký quỹ ký cược dài hạn,Nhận ký quỹ ký cược dài hạn,-,116.274.962,,116274962.0
Công ty CP ĐTPTXD Bê tông,b) Phải trả dài hạn khác > Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,-,116.274.962,,116274962.0
Cộng,b) Phải trả dài hạn khác > Cộng,Cộng,-,116.274.962,,116274962.0
