row_label_raw,row_label_full,13. Chi phí xây dựng cơ bản dở dang,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
"Mỏ đá tại Gia Kiệm, Thống Nhất - Đồng Nai","Mỏ đá tại Gia Kiệm, Thống Nhất - Đồng Nai","Mỏ đá tại Gia Kiệm, Thống Nhất - Đồng Nai",1.173.048.503,1.023.048.503,1173048503.0,1023048503.0
Sửa chữa Văn Phòng Tổng công ty,Sửa chữa Văn Phòng Tổng công ty,Sửa chữa Văn Phòng Tổng công ty,,45.220.909,,45220909.0
Cộng\( ^{(i)} \),Cộng\( ^{(i)} \),Cộng\( ^{(i)} \),1.173.048.503,1.068.269.412,1173048503.0,1068269412.0
