row_label_raw,row_label_full,Khoản mục > Số dư đầu năm trước,Vốn đầu tư của chủ sở hữu > 2.145.337.930.000,Thặng dư vốn cổ phần > 237.736.521.707,Quỹ đầu tư phát triển > 159.220.864.853,Lợi nhuận sau thuế chưa phân phối > 200.665.821.928,Tổng cộng VND > 2.742.961.138.488,numeric__Vốn đầu tư của chủ sở hữu > 2.145.337.930.000,numeric__Thặng dư vốn cổ phần > 237.736.521.707,numeric__Quỹ đầu tư phát triển > 159.220.864.853,numeric__Lợi nhuận sau thuế chưa phân phối > 200.665.821.928,numeric__Tổng cộng VND > 2.742.961.138.488
Phát hành cổ phiếu tăng vốn,Phát hành cổ phiếu tăng vốn,Phát hành cổ phiếu tăng vốn,65.000.000.000,-,-,-,65.000.000.000,65000000000.0,,,,65000000000.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,171.610.260.000,(171.610.260.000),-,-,-,171610260000.0,-171610260000.0,,,
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,105.876.565.036,105.876.565.036,,,,105876565036.0,105876565036.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,(5.100.000.000),(5.100.000.000),,,,-5100000000.0,-5100000000.0
Biến động khác,Biến động khác,Biến động khác,-,(15.000.000),-,-,(15.000.000),,-15000000.0,,,-15000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.381.948.190.000,66.111.261.707,159.220.864.853,301.442.386.964,2.908.722.703.524,2381948190000.0,66111261707.0,159220864853.0,301442386964.0,2908722703524.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.381.948.190.000,66.111.261.707,159.220.864.853,301.442.386.964,2.908.722.703.524,2381948190000.0,66111261707.0,159220864853.0,301442386964.0,2908722703524.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,128.374.033.496,128.374.033.496,,,,128374033496.0,128374033496.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,5.293.828.252,(10.587.656.504),(5.293.828.252),,,5293828252.0,-10587656504.0,-5293828252.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(107.187.668.550),(107.187.668.550),,,,-107187668550.0,-107187668550.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.381.948.190.000,66.111.261.707,164.514.693.105,312.041.095.406,2.924.615.240.218,2381948190000.0,66111261707.0,164514693105.0,312041095406.0,2924615240218.0
