row_label_raw,row_label_full,a) Phải thu ngắn hạn của khách hàng,Cuối năm > Giá trị gốc,Cuối năm > Dự phòng,Đầu năm > Giá trị gốc,Đầu năm > Dự phòng,numeric__Cuối năm > Giá trị gốc,numeric__Cuối năm > Dự phòng,numeric__Đầu năm > Giá trị gốc,numeric__Đầu năm > Dự phòng
Phải thu của bên liên quan,Phải thu của bên liên quan,Phải thu của bên liên quan,133.868.535.052,,335.729.639.270,,133868535052.0,,335729639270.0,
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,77.485.045,,193.527.369.935,,77485045.0,,193527369935.0,
Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,79.745.598.078,,79.745.598.078,,79745598078.0,,79745598078.0,
Công ty CP DIC Số 4,Công ty CP DIC Số 4,Công ty CP DIC Số 4,52.500.000.000,,62.000.000.000,,52500000000.0,,62000000000.0,
Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,1.039.018.514,,263.441.002,,1039018514.0,,263441002.0,
Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,93.082.175,,93.082.175,,93082175.0,,93082175.0,
Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,89.405.388,,,,89405388.0,,,
Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,299.677.500,,87.825.000,,299677500.0,,87825000.0,
Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,-,,3.807.100,,,,3807100.0,
Công ty CP DIC số 1,Công ty CP DIC số 1,Công ty CP DIC số 1,23.716.352,,2.297.955,,23716352.0,,2297955.0,
Công ty CP ĐTPTXD DLTT Vũng Tàu,Công ty CP ĐTPTXD DLTT Vũng Tàu,Công ty CP ĐTPTXD DLTT Vũng Tàu,-,,4.451.425,,,,4451425.0,
Công ty CP Cấu kiện bê tông DIC Miền Đông,Công ty CP Cấu kiện bê tông DIC Miền Đông,Công ty CP Cấu kiện bê tông DIC Miền Đông,-,,1.766.600,,,,1766600.0,
Công ty CP Đầu tư Phát triển xây dựng Số 2,Công ty CP Đầu tư Phát triển xây dựng Số 2,Công ty CP Đầu tư Phát triển xây dựng Số 2,552.000,,,,552000.0,,,
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,531.640.369.790,(2.926.184.555),331.080.429.718,(12.073.410.358),531640369790.0,-2926184555.0,331080429718.0,-12073410358.0
Công ty TNHH Phước An,Công ty TNHH Phước An,Công ty TNHH Phước An,60.463.000.000,,60.463.000.000,,60463000000.0,,60463000000.0,
Ban Quản lý Dự án Sở Xây dựng tỉnh Bà Rịa-Vũng Tàu,Ban Quản lý Dự án Sở Xây dựng tỉnh Bà Rịa-Vũng Tàu,Ban Quản lý Dự án Sở Xây dựng tỉnh Bà Rịa-Vũng Tàu,31.061.301.282,,26.333.844.214,,31061301282.0,,26333844214.0,
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,440.116.068.508,(2.926.184.555),244.283.585.504,(12.073.410.358),440116068508.0,-2926184555.0,244283585504.0,-12073410358.0
Cộng,Cộng,Cộng,665.508.904.842,(2.926.184.555),666.810.068.988,(12.073.410.358),665508904842.0,-2926184555.0,666810068988.0,-12073410358.0
