row_label_raw,row_label_full,10. Tài sản cố định hữu hình,Nhà cửa,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tài sản khác,Tổng cộng VND,numeric__Nhà cửa,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản khác,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,20.225.479.392,4.041.847.675,24.899.770.214,1.824.889.521,334.954.547,51.326.941.349,20225479392.0,4041847675.0,24899770214.0,1824889521.0,334954547.0,51326941349.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,255.295.455,3.705.000.000,455.575.000,122.902.273,4.538.772.728,,255295455.0,3705000000.0,455575000.0,122902273.0,4538772728.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,432.251.417,-,-,-,-,432.251.417,432251417.0,,,,,432251417.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(82.623.619),-,-,(68.919.200),-,(151.542.819),-82623619.0,,,-68919200.0,,-151542819.0
Số dư cuối kỳ,Nguyên giá > Số dư cuối kỳ,Số dư cuối kỳ,20.575.107.190,4.297.143.130,28.604.770.214,2.211.545.321,457.856.820,56.146.422.675,20575107190.0,4297143130.0,28604770214.0,2211545321.0,457856820.0,56146422675.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.239.354.619,1.512.612.291,13.823.237.638,1.635.722.766,310.560.608,25.521.487.922,8239354619.0,1512612291.0,13823237638.0,1635722766.0,310560608.0,25521487922.0
Khấu hao trong kỳ,Hao mòn lũy kế > Khấu hao trong kỳ,Khấu hao trong kỳ,821.470.994,425.434.886,2.335.570.463,99.402.868,14.775.647,3.696.654.858,821470994.0,425434886.0,2335570463.0,99402868.0,14775647.0,3696654858.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(82.623.619),-,-,(68.919.200),-,(151.542.819),-82623619.0,,,-68919200.0,,-151542819.0
Số dư cuối kỳ,Hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,8.978.201.994,1.938.047.177,16.158.808.101,1.666.206.434,325.336.255,29.066.599.961,8978201994.0,1938047177.0,16158808101.0,1666206434.0,325336255.0,29066599961.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,11.986.124.773,2.529.235.384,11.076.532.576,189.166.755,24.393.939,25.805.453.427,11986124773.0,2529235384.0,11076532576.0,189166755.0,24393939.0,25805453427.0
Tại ngày cuối kỳ,Giá trị còn lại > Tại ngày cuối kỳ,Tại ngày cuối kỳ,11.596.905.196,2.359.095.953,12.445.962.113,545.338.887,132.520.565,27.079.822.714,11596905196.0,2359095953.0,12445962113.0,545338887.0,132520565.0,27079822714.0
