row_label_raw,row_label_full,Nội dung nghiệp vụ/Bên liên quan,Mối quan hệ,Giá trị giao dịch VND,Số dư cuối kỳphải thu/(phải trả)VND,numeric__Mối quan hệ,numeric__Giá trị giao dịch VND,numeric__Số dư cuối kỳphải thu/(phải trả)VND
Công ty CP Đầu tư và Thương mại DIC,Công ty CP Đầu tư và Thương mại DIC,Công ty CP Đầu tư và Thương mại DIC,Bên liên quan,,,,,
Phải thu về góp vốn liên doanh,Công ty CP Đầu tư và Thương mại DIC > Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,87.318.359.768,,,87318359768.0
Công ty CP Đầu Tư và thương Maji DIC,Công ty CP Đầu tư và Thương mại DIC > Công ty CP Đầu Tư và thương Maji DIC,Công ty CP Đầu Tư và thương Maji DIC,Bên liên quan,,3.000.000.000,,,3000000000.0
CN Công ty CP Đầu tư XD A.T.A - BQL dự án A.T.A,Công ty CP Đầu tư và Thương mại DIC > CN Công ty CP Đầu tư XD A.T.A - BQL dự án A.T.A,CN Công ty CP Đầu tư XD A.T.A - BQL dự án A.T.A,Bên liên quan,,84.318.359.768,,,84318359768.0
Phải trả ngắn hạn về cung cấp dịch vụ,Công ty CP Đầu tư và Thương mại DIC > Phải trả ngắn hạn về cung cấp dịch vụ,Phải trả ngắn hạn về cung cấp dịch vụ,Phải trả ngắn hạn về cung cấp dịch vụ,479.852.656.384,(160.916.513.498),,479852656384.0,-160916513498.0
Công ty CP ĐTPTXD Số 1,Công ty CP Đầu tư và Thương mại DIC > Công ty CP ĐTPTXD Số 1,Công ty CP ĐTPTXD Số 1,Công ty con,154.137.451.562,(58.970.208.460),,154137451562.0,-58970208460.0
Công ty CP Du Lịch Và Thương Maji DIC,Công ty CP Đầu tư và Thương mại DIC > Công ty CP Du Lịch Và Thương Maji DIC,Công ty CP Du Lịch Và Thương Maji DIC,Công ty con,3.182.878.350,(1.309.778.962),,3182878350.0,-1309778962.0
Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Đầu tư và Thương mại DIC > Công ty CP Vật Liệu Xây dựng DIC,Công ty CP Vật Liệu Xây dựng DIC,Công ty con,18.545.225.428,(5.269.143.507),,18545225428.0,-5269143507.0
Công ty CP ĐTPTXD DIC Số 2,Công ty CP Đầu tư và Thương mại DIC > Công ty CP ĐTPTXD DIC Số 2,Công ty CP ĐTPTXD DIC Số 2,Công ty con,97.706.073.218,(28.137.737.377),,97706073218.0,-28137737377.0
Công ty CP Bất Đông Sản DIC,Công ty CP Đầu tư và Thương mại DIC > Công ty CP Bất Đông Sản DIC,Công ty CP Bất Đông Sản DIC,Công ty liên kết,28.572.964.951,(10.115.029.158),,28572964951.0,-10115029158.0
Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư và Thương mại DIC > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,2.864.713.581,,,2864713581.0,
Công ty CP ĐTPTXD Du Lịch Thẻ Thao Vũng Tàu,Công ty CP Đầu tư và Thương mại DIC > Công ty CP ĐTPTXD Du Lịch Thẻ Thao Vũng Tàu,Công ty CP ĐTPTXD Du Lịch Thẻ Thao Vũng Tàu,Công ty liên kết,15.510.000,,,15510000.0,
Công ty CP DIC Số 4,Công ty CP Đầu tư và Thương mại DIC > Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,168.488.586.905,(47.868.185.742),,168488586905.0,-47868185742.0
Công ty CP ĐTPTXD Thanh Bình,Công ty CP Đầu tư và Thương mại DIC > Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Bên liên quan,6.339.252.389,(9.246.430.292),,6339252389.0,-9246430292.0
Trả trước ngắn hạn cho người bán,Công ty CP Đầu tư và Thương mại DIC > Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,53.449.987.066,7.335.286.419,,53449987066.0,7335286419.0
Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư và Thương mại DIC > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,53.449.987.066,7.335.286.419,,53449987066.0,7335286419.0
