row_label_raw,row_label_full,a) Phải thu về cho vay ngắn hạn,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
Các khoản cho vay các bên liên quan,Các khoản cho vay các bên liên quan,Các khoản cho vay các bên liên quan,38.955.480.742,-,34.200.000.000,-,38955480742.0,,34200000000.0,
Công ty CP Cấu kiện Bê tông DIC Miền Đông,Công ty CP Cấu kiện Bê tông DIC Miền Đông,Công ty CP Cấu kiện Bê tông DIC Miền Đông,1.755.480.742,-,3.500.000.000,-,1755480742.0,,3500000000.0,
Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,35.700.000.000,-,12.700.000.000,-,35700000000.0,,12700000000.0,
Công ty CP ĐTPTXD DLTT Vũng Tàu,Công ty CP ĐTPTXD DLTT Vũng Tàu,Công ty CP ĐTPTXD DLTT Vũng Tàu,-,-,18.000.000.000,-,,,18000000000.0,
Công ty CP ĐTPTXD Khoáng Sản Miền Trung,Công ty CP ĐTPTXD Khoáng Sản Miền Trung,Công ty CP ĐTPTXD Khoáng Sản Miền Trung,1.400.000.000,-,-,-,1400000000.0,,,
Công ty CP Đầu tư Phát triển Xây dựng Phương Bắc,Công ty CP Đầu tư Phát triển Xây dựng Phương Bắc,Công ty CP Đầu tư Phát triển Xây dựng Phương Bắc,100.000.000,-,-,-,100000000.0,,,
Cộng,Cộng,Cộng,38.955.480.742,-,34.200.000.000,-,38955480742.0,,34200000000.0,
