row_label_raw,row_label_full,col_0,SL,%,Giá gốc,Dự phòng,Giá trị hợp lý,SL_1,%_1,Giá gốc_1,Dự phòng_1,Giá trị hợp lý_1,numeric__SL,numeric__%,numeric__Giá gốc,numeric__Dự phòng,numeric__Giá trị hợp lý,numeric__SL_1,numeric__%_1,numeric__Giá gốc_1,numeric__Dự phòng_1,numeric__Giá trị hợp lý_1
Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,Thương mại DIC,,,,,,,,,,
Ngân hàng TMCP Quân Đội\( ^{(ii)} \),Thương mại DIC > Ngân hàng TMCP Quân Đội\( ^{(ii)} \),Ngân hàng TMCP Quân Đội\( ^{(ii)} \),,,-,-,-,1.145.454,,24.000.000.000,,24.000.000.000,,,,,,1145454.0,,24000000000.0,,24000000000.0
Công ty CP Đầu tư PTXD Thanh Bình,Thương mại DIC > Công ty CP Đầu tư PTXD Thanh Bình,Công ty CP Đầu tư PTXD Thanh Bình,143.000,"9,02",1.240.000.000,(783.914.553),456.085.447,143.000,"9,02",1.240.000.000,(783.914.553),456.085.447,143000.0,9.02,1240000000.0,-783914553.0,456085447.0,143000.0,9.02,1240000000.0,-783914553.0,456085447.0
Công ty CP Sông Đà Hà Nội,Thương mại DIC > Công ty CP Sông Đà Hà Nội,Công ty CP Sông Đà Hà Nội,600.000,15,6.000.000.000,-,6.000.000.000,600.000,15,6.000.000.000,-,6.000.000.000,600000.0,15.0,6000000000.0,,6000000000.0,600000.0,15.0,6000000000.0,,6000000000.0
Công ty CP Cao su Phú Riềng Kratie,Thương mại DIC > Công ty CP Cao su Phú Riềng Kratie,Công ty CP Cao su Phú Riềng Kratie,2.000.000,5,20.000.000.000,(20.000.000.000),-,2.000.000,5,20.000.000.000,-,20.000.000.000,2000000.0,5.0,20000000000.0,-20000000000.0,,2000000.0,5.0,20000000000.0,,20000000000.0
Công ty TNHH J&D Đại An,Thương mại DIC > Công ty TNHH J&D Đại An,Công ty TNHH J&D Đại An,,5,8.469.000.000,(6.124.754),8.462.875.246,,5,8.469.000.000,(6.124.754),8.462.875.246,,5.0,8469000000.0,-6124754.0,8462875246.0,,5.0,8469000000.0,-6124754.0,8462875246.0
Công ty TNHH Taekwang - DIC,Thương mại DIC > Công ty TNHH Taekwang - DIC,Công ty TNHH Taekwang - DIC,,10,38.025.000.000,-,38.025.000.000,,10,38.025.000.000,,38.025.000.000,,10.0,38025000000.0,,38025000000.0,,10.0,38025000000.0,,38025000000.0
Ủy thác đầu tư - Mã DIC,Thương mại DIC > Ủy thác đầu tư - Mã DIC,Ủy thác đầu tư - Mã DIC,,,-,-,-,1.239.318,"4,66",11.733.600.000,(5.239.573.680),6.494.026.320,,,,,,1239318.0,4.66,11733600000.0,-5239573680.0,6494026320.0
Công ty CP Vina Đại Phước,Thương mại DIC > Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,12.880.000,8,128.800.000.000,(7.481.277.466),121.318.722.534,,,-,-,-,12880000.0,8.0,128800000000.0,-7481277466.0,121318722534.0,,,,,
Công ty CP Phát triển đô thị Phú Quốc \( ^{(iii)} \),Thương mại DIC > Công ty CP Phát triển đô thị Phú Quốc \( ^{(iii)} \),Công ty CP Phát triển đô thị Phú Quốc \( ^{(iii)} \),5.000.000,"6,67",50.000.000.000,,50.000.000.000,,,-,-,-,5000000.0,6.67,50000000000.0,,50000000000.0,,,,,
Cộng,Thương mại DIC > Cộng,Cộng,,,1.019.089.391.805,(133.896.892.158),885.192.499.647,,,1.253.357.244.994,(134.353.419.213),1.119.003.825.781,,,1019089391805.0,-133896892158.0,885192499647.0,,,1253357244994.0,-134353419213.0,1119003825781.0
