row_label_raw,row_label_full,Năm nay,Thương mại & Dịch vụ,Xây dựng,Bất động sản,Cộng VND,numeric__Thương mại & Dịch vụ,numeric__Xây dựng,numeric__Bất động sản,numeric__Cộng VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,1.581.949.512,25.565.013.500,899.523.493.454,926.670.456.466,1581949512.0,25565013500.0,899523493454.0,926670456466.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,(1.189.743.627),(23.347.718.624),(762.003.107.589),(786.540.569.840),-1189743627.0,-23347718624.0,-762003107589.0,-786540569840.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,392.205.885,2.217.294.876,137.520.385.865,140.129.886.626,392205885.0,2217294876.0,137520385865.0,140129886626.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,97.724.178.294,,,,97724178294.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,(19.043.816.572),,,,-19043816572.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,(27.046.800.288),,,,-27046800288.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,(63.299.284.065),,,,-63299284065.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,35.389.060.414,,,,35389060414.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,(2.888.942.462),,,,-2888942462.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,(35.331.558.665),,,,-35331558665.0
Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,,,,(2.741.310.214),,,,-2741310214.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,128.374.033.496,,,,128374033496.0
Năm trước,Năm trước,Năm trước,Thương mại & Dịch vụ,Xây dựng,Bất động sản,Cộng VND,,,,
Doanh thu thuần,Năm trước > Doanh thu thuần,Doanh thu thuần,2.791.542.400,104.994.944.980,445.697.497.698,553.483.985.078,2791542400.0,104994944980.0,445697497698.0,553483985078.0
Chi phí bộ phận,Năm trước > Chi phí bộ phận,Chi phí bộ phận,(2.163.198.106),(97.682.724.793),(262.784.641.319),(362.630.564.218),-2163198106.0,-97682724793.0,-262784641319.0,-362630564218.0
