row_label_raw,row_label_full,col_0,Tỷ lệ > Vốnnấm giữ,Tỷ lệ > Quyềnbiểu quyết,31/12/2024 > Giá gốc,31/12/2024 > Giá trịhợp lý,31/12/2024 > Dự phòng,01/01/2024 > Giá gốc,01/01/2024 > Giá trịhợp lý,01/01/2024 > Dự phòng,numeric__Tỷ lệ > Vốnnấm giữ,numeric__Tỷ lệ > Quyềnbiểu quyết,numeric__31/12/2024 > Giá gốc,numeric__31/12/2024 > Giá trịhợp lý,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá gốc,numeric__01/01/2024 > Giá trịhợp lý,numeric__01/01/2024 > Dự phòng
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,,1.115.173.383.735,,(269.187.728.109),1.595.638.684.744,,(753.927.477.902),,,1115173383735.0,,-269187728109.0,1595638684744.0,,-753927477902.0
Công ty Cổ phần One Capital Hospitality (ii),Công ty Cổ phần One Capital Hospitality (ii),Công ty Cổ phần One Capital Hospitality (ii),"55,60%","55,60%",1.100.999.642.844,611.570.036.000,(255.013.987.218),1.100.999.642.844,767.242.408.800,(334.241.630.920),0.556,0.556,1100999642844.0,611570036000.0,-255013987218.0,1100999642844.0,767242408800.0,-334241630920.0
Công ty Cổ phần Đầu tư Đại DươngThắng Long (iii),Công ty Cổ phần Đầu tư Đại DươngThắng Long (iii),Công ty Cổ phần Đầu tư Đại DươngThắng Long (iii),,,-,,-,480.465.301.009,(i),(405.512.106.091),,,,,,480465301009.0,,-405512106091.0
Công ty Cổ phần Phát triển Tài nguyênThiên nhiên Đại Dương,Công ty Cổ phần Phát triển Tài nguyênThiên nhiên Đại Dương,Công ty Cổ phần Phát triển Tài nguyênThiên nhiên Đại Dương,"75,05%","75,05%",11.310.000.000,(i),(11.310.000.000),11.310.000.000,(i),(11.310.000.000),0.7505,0.7505,11310000000.0,,-11310000000.0,11310000000.0,,-11310000000.0
Công ty Cổ phần Sở giao dịchhàng hóa INFO,Công ty Cổ phần Sở giao dịchhàng hóa INFO,Công ty Cổ phần Sở giao dịchhàng hóa INFO,"100,00%","100,00%",2.818.740.891,(i),(2.818.740.891),2.818.740.891,(i),(2.818.740.891),1.0,1.0,2818740891.0,,-2818740891.0,2818740891.0,,-2818740891.0
Công ty TNHH Đầu tư Kinh doanh Bất độngsản TKD Việt Nam,Công ty TNHH Đầu tư Kinh doanh Bất độngsản TKD Việt Nam,Công ty TNHH Đầu tư Kinh doanh Bất độngsản TKD Việt Nam,"100,00%","100,00%",45.000.000,(i),(45.000.000),45.000.000,(i),(45.000.000),1.0,1.0,45000000.0,,-45000000.0,45000000.0,,-45000000.0
Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,,,104.228.000.000,,-,104.228.000.000,,-,,,104228000000.0,,,104228000000.0,,
Công ty Cổ phần Đầu tư BOTHà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOTHà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOTHà Nội - Bắc Giang,"21,00%","21,00%",104.228.000.000,(i),-,104.228.000.000,(i),-,0.21,0.21,104228000000.0,,,104228000000.0,,
Tổng,Tổng,Tổng,,,1.219.401.383.735,,(269.187.728.109),1.699.866.684.744,,(753.927.477.902),,,1219401383735.0,,-269187728109.0,1699866684744.0,,-753927477902.0
