row_label_raw,row_label_full,Chỉ tiêu,MS,TM,Năm 2024VND,Năm 2023VND,numeric__MS,numeric__TM,numeric__Năm 2024VND,numeric__Năm 2023VND
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,6.1,24.731.591.674,11.525.972.481,1.0,61.0,24731591674.0,11525972481.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),10,,24.731.591.674,11.525.972.481,10.0,,24731591674.0,11525972481.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,6.2,16.745.182.296,8.134.814.524,11.0,62.0,16745182296.0,8134814524.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),20,,7.986.409.378,3.391.157.957,20.0,,7986409378.0,3391157957.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.3,609.474.469,1.898.056.776,21.0,63.0,609474469.0,1898056776.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,6.4,(8.292.457.412),(55.468.852.126),22.0,64.0,-8292457412.0,-55468852126.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,2.206.658.039,2.640.754.703,23.0,,2206658039.0,2640754703.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,,-,-,25.0,,,
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,6.5,(37.575.486.063),8.484.073.267,26.0,65.0,-37575486063.0,8484073267.0
10. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20+(21-22)-(25+26)},10. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20+(21-22)-(25+26)},10. Lợi nhuận thuần từ hoạt động kinh doanh{30 = 20+(21-22)-(25+26)},30,,54.463.827.322,52.273.993.592,30.0,,54463827322.0,52273993592.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,6.6,20.701.265.544,9.230.165.342,31.0,66.0,20701265544.0,9230165342.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,6.6,90.407.497,2.370.057.037,32.0,66.0,90407497.0,2370057037.0
13. Lợi nhuận khác (40 = 31-32),13. Lợi nhuận khác (40 = 31-32),13. Lợi nhuận khác (40 = 31-32),40,,20.610.858.047,6.860.108.305,40.0,,20610858047.0,6860108305.0
14. Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),14. Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),14. Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),50,,75.074.685.369,59.134.101.897,50.0,,75074685369.0,59134101897.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,,-,-,51.0,,,
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),60,,75.074.685.369,59.134.101.897,60.0,,75074685369.0,59134101897.0
