row_label_raw,row_label_full,col_0,NGUỒN VỐN,MS,TM,31/12/2024VND,01/01/2024VND,numeric__NGUỒN VỐN,numeric__MS,numeric__TM,numeric__31/12/2024VND,numeric__01/01/2024VND
C-,C-,C-,NỘ PHẢI TRẢ (300=310+330),300,,948.741.659.836,964.772.894.242,,300.0,,948741659836.0,964772894242.0
I.,I.,I.,Nợ ngắn hạn,310,,139.167.082.495,141.954.239.095,,310.0,,139167082495.0,141954239095.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.12,2.489.521.461,2.872.844.461,,311.0,512.0,2489521461.0,2872844461.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,5.13,9.281.642.601,14.365.733.510,,312.0,513.0,9281642601.0,14365733510.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.14,93.070.800,28.588.599,,313.0,514.0,93070800.0,28588599.0
4.,4.,4.,Phải trả người lao động,314,,453.859.467,635.359.495,,314.0,,453859467.0,635359495.0
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,5.15,7.400.340.077,7.271.436.396,,318.0,515.0,7400340077.0,7271436396.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.16,113.889.063.714,113.811.033.278,,319.0,516.0,113889063714.0,113811033278.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.17,4.500.000.000,2.500.000.000,,320.0,517.0,4500000000.0,2500000000.0
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,1.059.584.375,469.243.356,,322.0,,1059584375.0,469243356.0
II.,II.,II.,Nợ dài hạn,330,,809.574.577.341,822.818.655.147,,330.0,,809574577341.0,822818655147.0
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,5.15,246.840.410.796,254.403.575.579,,336.0,515.0,246840410796.0,254403575579.0
7.,7.,7.,Phải trả dài hạn khác,337,5.16,532.506.433.472,536.187.346.495,,337.0,516.0,532506433472.0,536187346495.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.17,30.227.733.073,32.227.733.073,,338.0,517.0,30227733073.0,32227733073.0
D-,D-,D-,VỐN CHỦ SỞ HỮU(400 = 410),400,,563.192.657.033,488.709.312.683,,400.0,,563192657033.0,488709312683.0
I-,I-,I-,Vốn chủ sở hữu,410,5.18,563.192.657.033,488.709.312.683,,410.0,518.0,563192657033.0,488709312683.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.000.000.000.000,3.000.000.000.000,,411.0,,3000000000000.0,3000000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.000.000.000.000,3.000.000.000.000,,,,3000000000000.0,3000000000000.0
4.,4.,4.,Vốn khác của chủ sở hữu,414,,1.286.825.482,1.286.825.482,,414.0,,1286825482.0,1286825482.0
5.,5.,5.,Cổ phiếu quỹ,415,,(10.000),(10.000),,415.0,,-10000.0,-10000.0
8.,8.,8.,Quỹ đầu tư phát triển,418,,99.871.176.744,99.871.176.744,,418.0,,99871176744.0,99871176744.0
10.,10.,10.,Quỹ khác thuộc vốn chủ sở hữu,420,,10.830.443.286,10.830.443.286,,420.0,,10830443286.0,10830443286.0
11.,11.,11.,Lợi nhuận sau thuế chưa phân phốiLNST chưa phân phối lũy kế đếncuối kỳ trước,421,,(2.548.795.778.479),(2.623.279.122.829),,421.0,,-2548795778479.0,-2623279122829.0
,,,- LNST chưa phân phối lũy kế đếncuối kỳ trước,421a,,(2.623.870.463.848),(2.682.413.224.726),,,,-2623870463848.0,-2682413224726.0
,,,- LNST chưa phân phối kỳ này,421b,,75.074.685.369,59.134.101.897,,,,75074685369.0,59134101897.0
TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,1.511.934.316.869,1.453.482.206.925,,440.0,,1511934316869.0,1453482206925.0
