row_label_raw,row_label_full,col_0,31/12/2024Số lượng cổ phiếu,numeric__31/12/2024Số lượng cổ phiếu
Cảm cổ cổ phiếu của OCH tại:,Cảm cổ cổ phiếu của OCH tại:,Cảm cổ cổ phiếu của OCH tại:,Cảm cổ cổ phiếu của OCH tại:,
Công ty Cổ phần Giáo dục Quốc tế Thần Đồng\( ^{(1)} \),Cảm cổ cổ phiếu của OCH tại: > Công ty Cổ phần Giáo dục Quốc tế Thần Đồng\( ^{(1)} \),Công ty Cổ phần Giáo dục Quốc tế Thần Đồng\( ^{(1)} \),7.000.000,7000000.0
Công ty Cổ phần Bình Dương Xanh\( ^{(2)} \),Cảm cổ cổ phiếu của OCH tại: > Công ty Cổ phần Bình Dương Xanh\( ^{(2)} \),Công ty Cổ phần Bình Dương Xanh\( ^{(2)} \),8.000.000,8000000.0
Ngân hàng TMCP Quốc Dân\( ^{(3)} \),Cảm cổ cổ phiếu của OCH tại: > Ngân hàng TMCP Quốc Dân\( ^{(3)} \),Ngân hàng TMCP Quốc Dân\( ^{(3)} \),3.987.517,3987517.0
Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(4)} \),Cảm cổ cổ phiếu của OCH tại: > Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(4)} \),Ngân hàng TMCP Ngoại thương Việt Nam\( ^{(4)} \),19.339.902,19339902.0
Tổng,Cảm cổ cổ phiếu của OCH tại: > Tổng,Tổng,38.327.419,38327419.0
Nhận cảm cổ cổ phiếu:,Nhận cảm cổ cổ phiếu:,Nhận cảm cổ cổ phiếu:,Nhận cảm cổ cổ phiếu:,
Công ty Cổ phần Tài chính và Đầu tư Gia Phát\( ^{(5)} \),Nhận cảm cổ cổ phiếu: > Công ty Cổ phần Tài chính và Đầu tư Gia Phát\( ^{(5)} \),Công ty Cổ phần Tài chính và Đầu tư Gia Phát\( ^{(5)} \),27.000.000,27000000.0
Công ty Cổ phần Tài chính Phúc Thịnh\( ^{(6)} \),Nhận cảm cổ cổ phiếu: > Công ty Cổ phần Tài chính Phúc Thịnh\( ^{(6)} \),Công ty Cổ phần Tài chính Phúc Thịnh\( ^{(6)} \),2.900.000,2900000.0
Công ty Cổ phần Dược phẩm Trung ương 2\( ^{(6)} \),Nhận cảm cổ cổ phiếu: > Công ty Cổ phần Dược phẩm Trung ương 2\( ^{(6)} \),Công ty Cổ phần Dược phẩm Trung ương 2\( ^{(6)} \),2.550.000,2550000.0
Tổng,Nhận cảm cổ cổ phiếu: > Tổng,Tổng,32.450.000,32450000.0
