row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,Năm 2024 VND,Năm 2023 VND,numeric__Tính chất giao dịch,numeric__Năm 2024 VND,numeric__Năm 2023 VND
"Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:","Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:","Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:",Lương và thù lao,2.074.801.633,2.155.440.942,,2074801633.0,2155440942.0
"Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:","Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:","Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:",,,,,,
"Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:","Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:","Hội đồng Quản trị,Ban Kiểm soát và Tổng Giám đốcTrong đó chi tiết như sau:",,,,,,
Họ và tên,Họ và tên,Họ và tên,Chức danh,Năm 2024 VND,Năm 2023 VND,,,
Hội đồng Quản trị,Họ và tên > Hội đồng Quản trị,Hội đồng Quản trị,,1.059.130.400,1.925.440.942,,1059130400.0,1925440942.0
Bà Lê Thị Việt Nga,Họ và tên > Bà Lê Thị Việt Nga,Bà Lê Thị Việt Nga,Chủ tịch HDQT,600.000.000,240.000.000,,600000000.0,240000000.0
Bà Phạm Thị Hồng Nhung,Họ và tên > Bà Phạm Thị Hồng Nhung,Bà Phạm Thị Hồng Nhung,Thành viên HDQT kiểm TGD(Miễn nhiệm từ ngày 08/01/2024),39.130.400,1.325.440.942,,39130400.0,1325440942.0
Bà Nguyễn Thị Lan Hương,Họ và tên > Bà Nguyễn Thị Lan Hương,Bà Nguyễn Thị Lan Hương,Thành viên HDQT,120.000.000,120.000.000,,120000000.0,120000000.0
Bà Nguyễn Thị Thanh Hường,Họ và tên > Bà Nguyễn Thị Thanh Hường,Bà Nguyễn Thị Thanh Hường,Thành viên HDQT(Miễn nhiệm từ ngày 08/01/2024),-,120.000.000,,,120000000.0
Bà Trần Thị Ngọc Bích,Họ và tên > Bà Trần Thị Ngọc Bích,Bà Trần Thị Ngọc Bích,Thành viên HDQT(Miễn nhiệm từ ngày 08/01/2024),-,120.000.000,,,120000000.0
Ông Lê Đình Quang,Họ và tên > Ông Lê Đình Quang,Ông Lê Đình Quang,Thành viên HDQT (Bổ nhiệm từ ngày 28/02/2024),100.000.000,-,,100000000.0,
Ông Nguyễn Dũng Minh,Họ và tên > Ông Nguyễn Dũng Minh,Ông Nguyễn Dũng Minh,Thành viên HDQT (Bổ nhiệm từ ngày 28/02/2024),100.000.000,-,,100000000.0,
Ông Nguyễn Đức Minh,Họ và tên > Ông Nguyễn Đức Minh,Ông Nguyễn Đức Minh,Thành viên HDQT (Bổ nhiệm từ ngày 28/02/2024),100.000.000,-,,100000000.0,
