row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất giao dịch,31/12/2024 VND,01/01/2024 VND,numeric__Mối quan hệ,numeric__Tính chất giao dịch,numeric__31/12/2024 VND,numeric__01/01/2024 VND
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,,,1.525.987.097,1.525.987.092,,,1525987097.0,1525987092.0
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Cho thuê văn phòng,1.525.987.097,1.525.987.092,,,1525987097.0,1525987092.0
Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,,,4.500.000.000,2.500.000.000,,,4500000000.0,2500000000.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Vay,4.500.000.000,2.500.000.000,,,4500000000.0,2500000000.0
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,,28.295.867.512,26.089.209.473,,,28295867512.0,26089209473.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Lãi vay,28.295.867.512,26.089.209.473,,,28295867512.0,26089209473.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,,,49.976.077.441,51.545.844.798,,,49976077441.0,51545844798.0
Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty Cổ phần Bánh Givral,Công ty con của OCH,Cho thuê văn phòng,49.976.077.441,51.545.844.798,,,49976077441.0,51545844798.0
Vay và nợ dài hạn,Vay và nợ dài hạn,Vay và nợ dài hạn,,,30.227.733.073,32.227.733.073,,,30227733073.0,32227733073.0
Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty Cổ phần Viptour - Togi,Công ty con của OCH,Vay,30.227.733.073,32.227.733.073,,,30227733073.0,32227733073.0
