row_label_raw,row_label_full,Họ và tên,Chức danh,Năm 2024VND,Năm 2023VND,numeric__Chức danh,numeric__Năm 2024VND,numeric__Năm 2023VND
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,,210.000.000,230.000.000,,210000000.0,230000000.0
Bà Dương Thị Mai Hương,Bà Dương Thị Mai Hương,Bà Dương Thị Mai Hương,Trường Ban kiểm soát(Bồ nhiệm từ ngày 28/02/2024),100.000.000,-,,100000000.0,
Bà Lê Thị Bích Hạnh,Bà Lê Thị Bích Hạnh,Bà Lê Thị Bích Hạnh,Thành viên BKS (Bồ nhiệm từ ngày 28/02/2024),50.000.000,-,,50000000.0,
Bà Trần Thị Chung,Bà Trần Thị Chung,Bà Trần Thị Chung,Thành viên BKS (Bồ nhiệm từ ngày 28/02/2024),50.000.000,-,,50000000.0,
Bà Trần Thị Trang,Bà Trần Thị Trang,Bà Trần Thị Trang,Trường BKS (Miễn nhiệm từ ngày 01/11/2023),-,100.000.000,,,100000000.0
Bà Trịnh Thị Trang,Bà Trịnh Thị Trang,Bà Trịnh Thị Trang,Thành viên BKS (Miễn nhiệm từ ngày 28/2/2024),10.000.000,60.000.000,,10000000.0,60000000.0
Ông Phạm Trung Hiếu,Ông Phạm Trung Hiếu,Ông Phạm Trung Hiếu,Trường BKS (Bồ nhiệm từ ngày 01/11/2023và miễn nhiệm từ ngày 08/01/2024),-,70.000.000,,,70000000.0
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,805.671.233,-,,805671233.0,
Ông Phạm Hùng Việt,Ông Phạm Hùng Việt,Ông Phạm Hùng Việt,Tổng Giám đốc (Bồ nhiệm từ ngày 08/01/2024),693.913.000,-,,693913000.0,
Ông Lê Vũ Hải,Ông Lê Vũ Hải,Ông Lê Vũ Hải,Tổng Giám đốc (Bồ nhiệm từ ngày 16/12/2024)Phó Tổng Giám đốc (Bồ nhiệm từ ngày 15/5/2024),111.758.233,-,,111758233.0,
