row_label_raw,row_label_full,STT,Tên đơn vị,Giá trị (VND),Dự phòng (VND),Tỷ lệ vốn góp thực tế,Tỷ lệ biểu quyết,Giá trị (VND)_1,Dự phòng (VND)_1,Tỷ lệ vốn góp thực tế_1,Tỷ lệ biểu quyết_1,numeric__Tên đơn vị,numeric__Giá trị (VND),numeric__Dự phòng (VND),numeric__Tỷ lệ vốn góp thực tế,numeric__Tỷ lệ biểu quyết,numeric__Giá trị (VND)_1,numeric__Dự phòng (VND)_1,numeric__Tỷ lệ vốn góp thực tế_1,numeric__Tỷ lệ biểu quyết_1
1,1,1,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,550.000.000.000,(25.210.113.629),100%,100%,118.000.000.000,(27.625.499.749),100%,100%,,550000000000.0,-25210113629.0,1.0,1.0,118000000000.0,-27625499749.0,1.0,1.0
2,2,2,Công ty TNHH Du lịch & Khách sạn Le Indochina,500.000.000.000,(43.780.742.783),100%,100%,210.000.000.000,(52.126.088.266),100%,100%,,500000000000.0,-43780742783.0,1.0,1.0,210000000000.0,-52126088266.0,1.0,1.0
3,3,3,Công ty TNHH Xây dựng Dương H2,309.000.000.000,-,100%,100%,130.000.000.000,-,100%,100%,,309000000000.0,,1.0,1.0,130000000000.0,,1.0,1.0
4,4,4,Công ty TNHH Dầu thực vật Dabaco,280.015.514.371,-,100%,100%,280.015.514.371,-,100%,100%,,280015514371.0,,1.0,1.0,280015514371.0,,1.0,1.0
5,5,5,Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,239.600.000.000,-,100%,100%,-,-,0%,100%,,239600000000.0,,1.0,1.0,,,0.0,1.0
6,6,6,Công ty TNHH Dabaco Quảng Trị,190.000.000.000,-,100%,100%,-,-,0%,100%,,190000000000.0,,1.0,1.0,,,0.0,1.0
7,7,7,Công ty TNHH Lợn giống hạt nhân Dabaco,121.312.447.573,-,100%,100%,121.312.447.573,-,100%,100%,,121312447573.0,,1.0,1.0,121312447573.0,,1.0,1.0
8,8,8,Công ty TNHH Thức ăn chân nuôi Nasaco Hà Nam,100.000.000.000,-,100%,100%,100.000.000.000,-,100%,100%,,100000000000.0,,1.0,1.0,100000000000.0,,1.0,1.0
9,9,9,Công ty TNHH Dabaco Thanh Hóa,100.000.000.000,-,100%,100%,100.000.000.000,-,100%,100%,,100000000000.0,,1.0,1.0,100000000000.0,,1.0,1.0
10,10,10,Công ty Lam Sơn Như Xuân,98.000.000.000,-,98%,100%,-,-,0%,0%,,98000000000.0,,0.98,1.0,,,0.0,0.0
