row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số cuối năm,Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi số (đồng thời là giá gốc) > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi có kỳ hạn (*),Ngắn hạn > Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),1.703.590.145.479,1.288.379.035.147,1703590145479.0,1288379035147.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.703.590.145.479,1.288.379.035.147,1703590145479.0,1288379035147.0
Dải hạn,Dải hạn,Dải hạn,,,,
Trái phiếu (**),Dải hạn > Trái phiếu (**),Trái phiếu (**),10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
