row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nước ngoài,Phải trả nhà cung cấp nước ngoài,Phải trả nhà cung cấp nước ngoài,103.408.785.965,1.311.396.039,103408785965.0,1311396039.0
- Hong Kong JF Agriculture Company Limited,- Hong Kong JF Agriculture Company Limited,- Hong Kong JF Agriculture Company Limited,42.448.506.100,-,42448506100.0,
- Bunge S.A.,- Bunge S.A.,- Bunge S.A.,30.633.588.375,-,30633588375.0,
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,30.326.691.490,1.311.396.039,30326691490.0,1311396039.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,258.712.095.325,257.190.096.657,258712095325.0,257190096657.0
- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,- Công ty Cổ phần Đầu tư Asia Goldman,38.640.394.631,35.414.750.250,38640394631.0,35414750250.0
- Công ty TNHH Natural Feed,- Công ty TNHH Natural Feed,- Công ty TNHH Natural Feed,31.772.927.460,-,31772927460.0,
- Công ty Tư vấn Xây dựng CCI Việt Nam,- Công ty Tư vấn Xây dựng CCI Việt Nam,- Công ty Tư vấn Xây dựng CCI Việt Nam,11.186.563.000,27.546.563.000,11186563000.0,27546563000.0
- Công ty TNHH Thương mại và Đầu tư Phát triển Hải Hưng,- Công ty TNHH Thương mại và Đầu tư Phát triển Hải Hưng,- Công ty TNHH Thương mại và Đầu tư Phát triển Hải Hưng,20.211.994.125,16.049.470.160,20211994125.0,16049470160.0
- Công ty Cổ phần Licogi 12,- Công ty Cổ phần Licogi 12,- Công ty Cổ phần Licogi 12,-,20.092.711.510,,20092711510.0
- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,156.900.216.109,158.086.601.737,156900216109.0,158086601737.0
Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 33),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 33),Phải trả ngắn hạn cho các bên liên quan (Thuyết minh số 33),276.727.416.632,8.034.958.807,276727416632.0,8034958807.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,638.848.297.922,266.536.451.503,638848297922.0,266536451503.0
