row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),Đơn vị tính: VND > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Phải thu khách hàng ngắn hạn (Thuyết minh số 7.1)
Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,Công ty con,Bán hàng hóa,474.759.420.596,481.432.331.346,,,474759420596.0,481432331346.0
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,Bán hàng hóa,327.862.489.239,241.728.692.240,,,327862489239.0,241728692240.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Bán hàng hóa,293.945.382.225,308.794.147.321,,,293945382225.0,308794147321.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Bán hàng hóa,255.329.411.891,351.210.389.970,,,255329411891.0,351210389970.0
Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty TNHH Lợn Giống Dabaco Phú Thọ,Công ty con,Bán hàng hóa,218.935.176.392,311.141.689.003,,,218935176392.0,311141689003.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Bán hàng hóa,128.519.655.683,205.419.189.578,,,128519655683.0,205419189578.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Bán hàng hóa,125.978.089.976,94.388.343.165,,,125978089976.0,94388343165.0
Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty TNHH Lợn giống hạt nhân Dabaco,Công ty con,Bán hàng hóa,90.707.671.576,149.466.886.106,,,90707671576.0,149466886106.0
Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty con,Bán hàng hóa,73.670.457.146,77.526.275.153,,,73670457146.0,77526275153.0
Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty TNHH Lợn giống Dabaco Lương Tài,Công ty con,Bán hàng hóa,68.050.609.314,170.970.875.473,,,68050609314.0,170970875473.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Bán hàng hóa,62.731.273.206,100.477.490.159,,,62731273206.0,100477490159.0
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,Bán hàng hóa,878.236.695,-,,,878236695.0,
Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty con,Bán hàng hóa,586.530.000,-,,,586530000.0,
Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty TNHH MTV Lợn giống Lạc Vệ,Công ty con,Bán hàng hóa,-,38.469.533.596,,,,38469533596.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,Bán hàng hóa,-,158.390.000,,,,158390000.0
