row_label_raw,row_label_full,Ông Nguyễn Như So,Chủ tịch,col_2,numeric__Chủ tịch,numeric__col_2
Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Ông Nguyễn Khắc Thảo,Phó Chủ tịch,,,
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Phó Chủ tịch,bổ nhiệm ngày 19 tháng 4 năm 2025,,
Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Ông Nguyễn Thế Tường,Thành viên,,,
Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Ông Nguyễn Hoàng Nguyên,Thành viên,,,
Ông Lê Quốc Đoàn,Ông Lê Quốc Đoàn,Ông Lê Quốc Đoàn,Thành viên,,,
Ông Hoàng Nguyên Học,Ông Hoàng Nguyên Học,Ông Hoàng Nguyên Học,Thành viên độc lập,,,
Ông Bùi Văn Hoan,Ông Bùi Văn Hoan,Ông Bùi Văn Hoan,Thành viên độc lập,,,
Ông Phạm Văn Học,Ông Phạm Văn Học,Ông Phạm Văn Học,Thành viên,bổ nhiệm ngày 19 tháng 4 năm 2025,,
Bà Trần Phương Lan,Bà Trần Phương Lan,Bà Trần Phương Lan,Thành viên độc lập,bổ nhiệm ngày 19 tháng 4 năm 2025,,
Ông Trần Công Nam,Ông Trần Công Nam,Ông Trần Công Nam,Thành viên,bổ nhiệm ngày 19 tháng 4 năm 2025,,
Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Bà Nguyễn Thanh Hương,Thành viên,miễn nhiệm ngày 19 tháng 4 năm 2025,,
