row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 8.1),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8.1),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8.1),Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8.1),Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8.1),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8.1),numeric__Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8.1),numeric__Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8.1)
Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty TNHH Xây dựng đường H2 TP Bắc Ninh,Công ty con,Tài trợ vốn,94.508.454.487,77.824.053.487,,,94508454487.0,77824053487.0
Công ty TNHH Cằng & Logistic Tân Chi,Công ty TNHH Cằng & Logistic Tân Chi,Công ty TNHH Cằng & Logistic Tân Chi,Công ty con,Phải thu chi phí sử dụng tài sản,53.752.311.584,54.704.056.411,,,53752311584.0,54704056411.0
Công ty TNHH Dược và Thú y Dacovet,Công ty TNHH Dược và Thú y Dacovet,Công ty TNHH Dược và Thú y Dacovet,Công ty con,Phải thu chi phí sử dụng tài sản,50.534.720.417,25.098.590.417,,,50534720417.0,25098590417.0
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,Phải thu chi phí sử dụng tài sản,34.897.496.201,23.007.971.050,,,34897496201.0,23007971050.0
Công ty Cổ phần Giavico Việt Nam,Công ty Cổ phần Giavico Việt Nam,Công ty Cổ phần Giavico Việt Nam,Công ty con,Tài trợ vốn,23.346.035.000,-,,,23346035000.0,
Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty con,Tài trợ vốn,10.030.366.526,28.530.366.526,,,10030366526.0,28530366526.0
Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty con,Phải thu chi phí sử dụng tài sản,4.442.097.257,2.543.015.192,,,4442097257.0,2543015192.0
Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty TNHH Lợn giống Dabaco Hà Nam,Công ty con,Phải thu chi phí sử dụng tài sản,-,39.130.979.451,,,,39130979451.0
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,Phải thu khác,-,30.518.052.334,,,,30518052334.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,Phải thu chi phí sử dụng tài sản,-,27.060.912.401,,,,27060912401.0
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,Phải thu chi phí sử dụng tài sản,-,12.007.999.627,,,,12007999627.0
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,Phải thu chi phí sử dụng tài sản,-,12.913.580.195,,,,12913580195.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,Phải thu chi phí sử dụng tài sản,-,6.843.970.382,,,,6843970382.0
Các công ty con khác,Các công ty con khác,Các công ty con khác,,Tài trợ vốn,11.228.526.418,30.258.879.071,,,11228526418.0,30258879071.0
Phải thu khác từ thành viên quản lý chủ chốt,Phải thu khác từ thành viên quản lý chủ chốt,Phải thu khác từ thành viên quản lý chủ chốt,,Chuyển nhượng vốn góp công ty liên kết,1.000.000.000,1.000.000.000,,,1000000000.0,1000000000.0
,,,,,283.740.007.890,371.442.426.544,,,283740007890.0,371442426544.0
Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),Phải thu về cho vay dài hạn (Chỉ tiêu số 215),,,,
Công ty TNHH Đầu thực vật Dabaco,Phải thu về cho vay dài hạn (Chỉ tiêu số 215) > Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,Phải thu cho vay dài hạn (*),1.376.168.271.000,706.000.000.000,,,1376168271000.0,706000000000.0
,,,,,1.376.168.271.000,706.000.000.000,,,1376168271000.0,706000000000.0
