row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Bán hàng,Mua nguyên vát liệu và dịch vụ,Phân bố chi phí sử dụng tài sản,Lãi vay phân bố,Vay,Cho vay dài hạn,"Góp vốn, mua cổ phần",Lợi nhuận/Cổ tức được chia,numeric__Môi quan hệ,numeric__Bán hàng,numeric__Mua nguyên vát liệu và dịch vụ,numeric__Phân bố chi phí sử dụng tài sản,numeric__Lãi vay phân bố,numeric__Vay,numeric__Cho vay dài hạn,"numeric__Góp vốn, mua cổ phần",numeric__Lợi nhuận/Cổ tức được chia
Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty TNHH MTV Gà giống Dabaco,Công ty con,72.678.935.991,-,29.936.801.211,-,-,-,-,-,,72678935991.0,,29936801211.0,,,,,
Công ty TNHH Lon giống Hat nhân Dabaco,Công ty TNHH Lon giống Hat nhân Dabaco,Công ty TNHH Lon giống Hat nhân Dabaco,Công ty con,333.789.373.280,-,403.749.996,-,-,-,-,48.320.842.339,,333789373280.0,,403749996.0,,,,,48320842339.0
Công ty TNHH MTV Lon giống Lạc Vế,Công ty TNHH MTV Lon giống Lạc Vế,Công ty TNHH MTV Lon giống Lạc Vế,Công ty con,107.989.695.000,-,267.617.757,-,-,-,-,4.647.919.314,,107989695000.0,,267617757.0,,,,,4647919314.0
Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,Công ty con,173.415.017.200,-,12.036.138.909,-,-,-,-,-,,173415017200.0,,12036138909.0,,,,,
Công ty TNHH Đầu tư Phát triển Chăn nuôi Lon Dabaco,Công ty TNHH Đầu tư Phát triển Chăn nuôi Lon Dabaco,Công ty TNHH Đầu tư Phát triển Chăn nuôi Lon Dabaco,Công ty con,1.054.292.730.250,-,138.720.000,-,-,-,-,-,,1054292730250.0,,138720000.0,,,,,
Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty TNHH Dịch vụ Thương mại Bắc Ninh,Công ty con,897.080.000,11.105.675.133,20.267.137.052,925.078.053,432.000.000.000,-,432.000.000.000,-,,897080000.0,11105675133.0,20267137052.0,925078053.0,432000000000.0,,432000000000.0,
Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty TNHH Nutreco,Công ty con,1.078.002.147.165,4.761.978.000,8.734.766.557,-,-,-,-,57.939.818.309,,1078002147165.0,4761978000.0,8734766557.0,,,,,57939818309.0
Công ty TNHH Lon giống Dabaco Hà Nam,Công ty TNHH Lon giống Dabaco Hà Nam,Công ty TNHH Lon giống Dabaco Hà Nam,Công ty con,58.770.864.100,-,138.720.000,-,-,-,-,-,,58770864100.0,,138720000.0,,,,,
Công ty TNHH MTV Thương mại Hiếp Quang,Công ty TNHH MTV Thương mại Hiếp Quang,Công ty TNHH MTV Thương mại Hiếp Quang,Công ty con,-,60.525.015.254,-,-,-,-,-,12.537.204.658,,,60525015254.0,,,,,,12537204658.0
Công ty TNHH Căng và Logistics Tân Chi,Công ty TNHH Căng và Logistics Tân Chi,Công ty TNHH Căng và Logistics Tân Chi,Công ty con,-,67.926.339.694,2.102.508.780,-,-,-,-,2.012.599.524,,,67926339694.0,2102508780.0,,,,,2012599524.0
