row_label_raw,row_label_full,Trong đó:,Trong đó:_1,numeric__Trong đó:_1
Nợ dài hạn đến,Nợ dài hạn đến,Nợ dài hạn đến,Nợ dài hạn đến,
hạn trả,Nợ dài hạn đến > hạn trả,hạn trả,54.410.157.919,54410157919.0
Nợ dài hạn,Nợ dài hạn đến > Nợ dài hạn,Nợ dài hạn,53.410.940.264,53410940264.0
